Iso3
SOM
COD
PNG
HTI
AFG
MDG
ETH
MRT
SDN
UGA
BEN
KHM
PRK
TLS
SLB
MOZ
TZA
MMR
MWI
LBY
IRQ
KEN
DJI
LAO
NPL
VUT
PAK
BGD
BTN
HND
SYR
IND
VEN
GTM
AZE
DZA
IRN
BIH
