currency,month,value
Euro(1),03/2013,1.2963600000000002
Japanese Yen,03/2013,94.7515
U.K. Pound Sterling(1),03/2013,1.5073599999999998
U.S. Dollar,03/2013,1
Algerian Dinar,03/2013,78.74095789473684
Australian Dollar(1),03/2013,1.033605263157895
Bahrain Dinar,03/2013,0.3760000000000001
Botswana Pula(1),03/2013,0.12168947368421053
Brazilian Real,03/2013,1.9831450000000004
Brunei Dollar,03/2013,1.246694736842105
Canadian Dollar,03/2013,1.0247888888888887
Chilean Peso,03/2013,472.46050000000014
Chinese Yuan,03/2013,6.274295
Colombian Peso,03/2013,1
Czech Koruna,03/2013,19.8155
Danish Krone,03/2013,5.748988888888889
Hungarian Forint,03/2013,234.12105263157892
Icelandic Krona,03/2013,125.29333333333335
Indian Rupee,03/2013,54.387844444444454
Indonesian Rupiah,03/2013,9
Iranian Rial,03/2013,12
Israeli New Sheqel,03/2013,3.6904375
Kazakhstani Tenge,03/2013,150.77
Korean Won,03/2013,1
Kuwaiti Dinar,03/2013,0.28442105263157896
Libyan Dinar(2),03/2013,1.9324000000000006
Malaysian Ringgit,03/2013,3.10789
Mauritian Rupee,03/2013,30.964752631578946
Mexican Peso,03/2013,12.521831249999998
Nepalese Rupee,03/2013,87.0395
New Zealand Dollar(1),03/2013,0.8276263157894739
Norwegian Krone,03/2013,5.773055555555556
Rial Omani,03/2013,0.3845
Pakistani Rupee,03/2013,98.163505
Nuevo Sol,03/2013,2.5936470588235303
Philippine Peso,03/2013,40.71261111111111
Polish Zloty,03/2013,3.207885
Qatar Riyal,03/2013,3.6399999999999997
Russian Ruble,03/2013,30.821754999999996
Saudi Arabian Riyal,03/2013,3.75
Singapore Dollar,03/2013,1.246694736842105
South African Rand,03/2013,9.19231388888889
Sri Lanka Rupee,03/2013,126.77866666666667
Swedish Krona,03/2013,6.437994736842106
Swiss Franc,03/2013,0.9465050000000002
Thai Baht,03/2013,29.5084
Trinidad And Tobago Dollar,03/2013,6.410675
Tunisian Dinar,03/2013,1.5813941176470587
U.A.E. Dirham,03/2013,3.6725000000000003
Peso Uruguayo,03/2013,18.98988235294118
Bolivar Fuerte,03/2013,6.284199999999999
Euro(1),03/2013,1.2963600000000002
Euro(1),01/2013,1.3286380952380952
