currency,month,value
Euro(1),02/2000,0.9834238095238094
Japanese Yen,02/2000,109.3415
U.K. Pound Sterling(1),02/2000,1.6000619047619045
U.S. Dollar,02/2000,1
Algerian Dinar,02/2000,NaN
Australian Dollar(1),02/2000,0.6291190476190476
Bahrain Dinar,02/2000,0.3760000000000001
Botswana Pula(1),02/2000,0.21119
Brazilian Real,02/2000,1.7755550000000002
Brunei Dollar,02/2000,1.7006350000000001
Canadian Dollar,02/2000,1.4510666666666665
Chilean Peso,02/2000,503.61899999999997
Chinese Yuan,02/2000,8.278120000000001
Colombian Peso,02/2000,1
Czech Koruna,02/2000,NaN
Danish Krone,02/2000,7.562347619047619
Hungarian Forint,02/2000,259.9528571428571
Icelandic Krona,02/2000,73.07473684210527
Indian Rupee,02/2000,43.61285714285715
Indonesian Rupiah,02/2000,NaN
Iranian Rial,02/2000,1
Israeli New Sheqel,02/2000,NaN
Kazakhstani Tenge,02/2000,NaN
Korean Won,02/2000,1
Kuwaiti Dinar,02/2000,0.306083125
Libyan Dinar(2),02/2000,0.6341149999999998
Malaysian Ringgit,02/2000,3.7999999999999985
Mauritian Rupee,02/2000,NaN
Mexican Peso,02/2000,NaN
Nepalese Rupee,02/2000,69.02
New Zealand Dollar(1),02/2000,0.49122619047619054
Norwegian Krone,02/2000,8.232365
Rial Omani,02/2000,0.3845
Pakistani Rupee,02/2000,51.798442857142845
Nuevo Sol,02/2000,NaN
Philippine Peso,02/2000,NaN
Polish Zloty,02/2000,NaN
Qatar Riyal,02/2000,3.6399999999999997
Russian Ruble,02/2000,NaN
Saudi Arabian Riyal,02/2000,3.7449999999999997
Singapore Dollar,02/2000,1.7006350000000001
South African Rand,02/2000,6.318761904761904
Sri Lanka Rupee,02/2000,72.83350000000002
Swedish Krona,02/2000,8.646190476190476
Swiss Franc,02/2000,1.633542857142857
Thai Baht,02/2000,37.707300000000004
Trinidad And Tobago Dollar,02/2000,6.270590476190478
Tunisian Dinar,02/2000,NaN
U.A.E. Dirham,02/2000,3.6725000000000003
Peso Uruguayo,02/2000,NaN
Bolivar Fuerte,02/2000,NaN
Euro(1),02/2000,0.9834238095238094
Euro(1),01/1999,1.1607800000000004
Japanese Yen,02/2000,109.3415
Japanese Yen,01/1999,113.18105263157895
U.K. Pound Sterling(1),02/2000,1.6000619047619045
U.K. Pound Sterling(1),01/1999,1.6511
U.S. Dollar,02/2000,1
U.S. Dollar,01/1999,1
Algerian Dinar,02/2000,NaN
Algerian Dinar,01/1999,NaN
Australian Dollar(1),02/2000,0.6291190476190476
Australian Dollar(1),01/1999,0.6316210526315791
Bahrain Dinar,02/2000,0.3760000000000001
Bahrain Dinar,01/1999,0.3760000000000001
Botswana Pula(1),02/2000,0.21119
Botswana Pula(1),01/1999,0.22089999999999999
Brazilian Real,02/2000,1.7755550000000002
Brazilian Real,01/1999,1.4623899999999999
Brunei Dollar,02/2000,1.7006350000000001
Brunei Dollar,01/1999,1.6698833333333332
Canadian Dollar,02/2000,1.4510666666666665
Canadian Dollar,01/1999,1.5192050000000004
Chilean Peso,02/2000,503.61899999999997
Chilean Peso,01/1999,472.4749999999999
Chinese Yuan,02/2000,8.278120000000001
Chinese Yuan,01/1999,8.278699999999999
Colombian Peso,02/2000,1
Colombian Peso,01/1999,1
Czech Koruna,02/2000,NaN
Czech Koruna,01/1999,NaN
Danish Krone,02/2000,7.562347619047619
Danish Krone,01/1999,6.407685000000001
Hungarian Forint,02/2000,259.9528571428571
Hungarian Forint,01/1999,NaN
Icelandic Krona,02/2000,73.07473684210527
Icelandic Krona,01/1999,69.44526315789476
Indian Rupee,02/2000,43.61285714285715
Indian Rupee,01/1999,42.507999999999996
Indonesian Rupiah,02/2000,NaN
Indonesian Rupiah,01/1999,NaN
Iranian Rial,02/2000,1
Iranian Rial,01/1999,1
Israeli New Sheqel,02/2000,NaN
Israeli New Sheqel,01/1999,NaN
Kazakhstani Tenge,02/2000,NaN
Kazakhstani Tenge,01/1999,NaN
Korean Won,02/2000,1
Korean Won,01/1999,1
Kuwaiti Dinar,02/2000,0.306083125
Kuwaiti Dinar,01/1999,0.3017241666666666
Libyan Dinar(2),02/2000,0.6341149999999998
Libyan Dinar(2),01/1999,NaN
Malaysian Ringgit,02/2000,3.7999999999999985
Malaysian Ringgit,01/1999,3.7999999999999985
Mauritian Rupee,02/2000,NaN
Mauritian Rupee,01/1999,NaN
Mexican Peso,02/2000,NaN
Mexican Peso,01/1999,NaN
Nepalese Rupee,02/2000,69.02
Nepalese Rupee,01/1999,67.67499999999998
New Zealand Dollar(1),02/2000,0.49122619047619054
New Zealand Dollar(1),01/1999,0.5388437500000001
Norwegian Krone,02/2000,8.232365
Norwegian Krone,01/1999,7.452364999999999
Rial Omani,02/2000,0.3845
Rial Omani,01/1999,0.3845
Pakistani Rupee,02/2000,51.798442857142845
Pakistani Rupee,01/1999,46.115
Nuevo Sol,02/2000,NaN
Nuevo Sol,01/1999,NaN
Philippine Peso,02/2000,NaN
Philippine Peso,01/1999,NaN
