currency,month,value
Euro(1),12/2009,1.461359090909091
Japanese Yen,12/2009,89.4555
U.K. Pound Sterling(1),12/2009,1.625552380952381
U.S. Dollar,12/2009,1
Algerian Dinar,12/2009,NaN
Australian Dollar(1),12/2009,0.9027619047619047
Bahrain Dinar,12/2009,0.3760000000000001
Botswana Pula(1),12/2009,0.14993499999999998
Brazilian Real,12/2009,1.7468000000000004
Brunei Dollar,12/2009,1.3961409090909092
Canadian Dollar,12/2009,1.0544
Chilean Peso,12/2009,501.4500000000001
Chinese Yuan,12/2009,6.827880952380954
Colombian Peso,12/2009,1.7727272727272727
Czech Koruna,12/2009,17.839142857142853
Danish Krone,12/2009,5.086924999999999
Hungarian Forint,12/2009,186.7561904761905
Icelandic Krona,12/2009,125.06619047619047
Indian Rupee,12/2009,46.62999999999998
Indonesian Rupiah,12/2009,9
Iranian Rial,12/2009,9.210526315789474
Israeli New Sheqel,12/2009,3.7896363636363644
Kazakhstani Tenge,12/2009,148.7190909090909
Korean Won,12/2009,1
Kuwaiti Dinar,12/2009,0.2858238095238095
Libyan Dinar(2),12/2009,1.9323685714285712
Malaysian Ringgit,12/2009,3.4116761904761908
Mauritian Rupee,12/2009,29.39116842105263
Mexican Peso,12/2009,12.863090909090907
Nepalese Rupee,12/2009,74.54318181818184
New Zealand Dollar(1),12/2009,0.7163476190476189
Norwegian Krone,12/2009,5.751144999999999
Rial Omani,12/2009,0.3845
Pakistani Rupee,12/2009,84.13041363636364
Nuevo Sol,12/2009,NaN
Philippine Peso,12/2009,NaN
Polish Zloty,12/2009,2.8381849999999997
Qatar Riyal,12/2009,3.64
Russian Ruble,12/2009,30.038861904761905
Saudi Arabian Riyal,12/2009,3.75
Singapore Dollar,12/2009,1.3958000000000002
South African Rand,12/2009,7.478571428571428
Sri Lanka Rupee,12/2009,114.34522
Swedish Krona,12/2009,7.128571428571428
Swiss Franc,12/2009,1.0278428571428568
Thai Baht,12/2009,33.22794117647059
Trinidad And Tobago Dollar,12/2009,6.352522727272728
Tunisian Dinar,12/2009,NaN
U.A.E. Dirham,12/2009,3.6725
Peso Uruguayo,12/2009,NaN
Bolivar Fuerte,12/2009,2.144599999999999
Euro(1),12/2009,1.461359090909091
Euro(1),10/2009,1.4816363636363634
