currency,month,value
Euro(1),06/2011,1.4388409090909091
Japanese Yen,06/2011,80.51181818181819
U.K. Pound Sterling(1),06/2011,1.6215045454545456
U.S. Dollar,06/2011,1
Algerian Dinar,06/2011,71.92285789473685
Australian Dollar(1),06/2011,1.0602857142857143
Bahrain Dinar,06/2011,0.3760000000000001
Botswana Pula(1),06/2011,0.153
Brazilian Real,06/2011,1.5871272727272727
Brunei Dollar,06/2011,1.2346863636363634
Canadian Dollar,06/2011,0.9767500000000001
Chilean Peso,06/2011,469.4119047619047
Chinese Yuan,06/2011,6.477838095238094
Colombian Peso,06/2011,1
Czech Koruna,06/2011,16.879727272727276
Danish Krone,06/2011,5.186668421052632
Hungarian Forint,06/2011,185.3138095238095
Icelandic Krona,06/2011,115.05578947368421
Indian Rupee,06/2011,44.85181818181818
Indonesian Rupiah,06/2011,8
Iranian Rial,06/2011,10.466666666666667
Israeli New Sheqel,06/2011,3.4223809523809527
Kazakhstani Tenge,06/2011,145.76500000000001
Korean Won,06/2011,1
Kuwaiti Dinar,06/2011,0.27432999999999996
Libyan Dinar(2),06/2011,1.9324000000000006
Malaysian Ringgit,06/2011,3.0297545454545447
Mauritian Rupee,06/2011,28.122840909090908
Mexican Peso,06/2011,11.801514285714285
Nepalese Rupee,06/2011,71.77047619047619
New Zealand Dollar(1),06/2011,0.8150523809523811
Norwegian Krone,06/2011,5.445715789473684
Rial Omani,06/2011,0.3845
Pakistani Rupee,06/2011,85.84807954545454
Nuevo Sol,06/2011,2.7631904761904766
Philippine Peso,06/2011,43.35965
Polish Zloty,06/2011,2.7565047619047625
Qatar Riyal,06/2011,3.64
Russian Ruble,06/2011,27.982009523809523
Saudi Arabian Riyal,06/2011,3.75
Singapore Dollar,06/2011,1.2346863636363634
South African Rand,06/2011,6.797199999999999
Sri Lanka Rupee,06/2011,109.59328095238095
Swedish Krona,06/2011,6.339331578947369
Swiss Franc,06/2011,0.8402578947368419
Thai Baht,06/2011,30.517318181818176
Trinidad And Tobago Dollar,06/2011,6.406795000000001
Tunisian Dinar,06/2011,1.371826315789474
U.A.E. Dirham,06/2011,3.6725000000000003
Peso Uruguayo,06/2011,18.5186
Bolivar Fuerte,06/2011,4.289299999999998
Euro(1),06/2011,1.4388409090909091
Euro(1),09/2010,1.307619047619048
Japanese Yen,06/2011,80.51181818181819
Japanese Yen,09/2010,84.38526315789473
U.K. Pound Sterling(1),06/2011,1.6215045454545456
U.K. Pound Sterling(1),09/2010,1.5574047619047615
U.S. Dollar,06/2011,1
U.S. Dollar,09/2010,1
Algerian Dinar,06/2011,71.92285789473685
Algerian Dinar,09/2010,75.11490555555555
Australian Dollar(1),06/2011,1.0602857142857143
Australian Dollar(1),09/2010,0.9367
Bahrain Dinar,06/2011,0.3760000000000001
Bahrain Dinar,09/2010,0.3760000000000001
Botswana Pula(1),06/2011,0.153
Botswana Pula(1),09/2010,0.14880000000000004
Brazilian Real,06/2011,1.5871272727272727
Brazilian Real,09/2010,1.7207857142857146
Brunei Dollar,06/2011,1.2346863636363634
Brunei Dollar,09/2010,1.33554
Canadian Dollar,06/2011,0.9767500000000001
Canadian Dollar,09/2010,1.0330857142857144
Chilean Peso,06/2011,469.4119047619047
Chilean Peso,09/2010,493.8652631578948
Chinese Yuan,06/2011,6.477838095238094
Chinese Yuan,09/2010,6.742023529411765
Colombian Peso,06/2011,1
Colombian Peso,09/2010,1
Czech Koruna,06/2011,16.879727272727276
Czech Koruna,09/2010,18.886849999999995
Danish Krone,06/2011,5.186668421052632
Danish Krone,09/2010,5.698719047619047
Hungarian Forint,06/2011,185.3138095238095
Hungarian Forint,09/2010,215.5955
Icelandic Krona,06/2011,115.05578947368421
Icelandic Krona,09/2010,116.76619047619049
Indian Rupee,06/2011,44.85181818181818
Indian Rupee,09/2010,46.036842105263155
Indonesian Rupiah,06/2011,8
Indonesian Rupiah,09/2010,8.277777777777779
Iranian Rial,06/2011,10.466666666666667
Iranian Rial,09/2010,10
Israeli New Sheqel,06/2011,3.4223809523809527
Israeli New Sheqel,09/2010,3.7358571428571428
Kazakhstani Tenge,06/2011,145.76500000000001
Kazakhstani Tenge,09/2010,147.37526315789472
Korean Won,06/2011,1
Korean Won,09/2010,1
Kuwaiti Dinar,06/2011,0.27432999999999996
Kuwaiti Dinar,09/2010,0.28642222222222224
Libyan Dinar(2),06/2011,1.9324000000000006
Libyan Dinar(2),09/2010,1.9324000000000006
Malaysian Ringgit,06/2011,3.0297545454545447
Malaysian Ringgit,09/2010,3.1057842105263163
Mauritian Rupee,06/2011,28.122840909090908
Mauritian Rupee,09/2010,30.68101666666667
Mexican Peso,06/2011,11.801514285714285
Mexican Peso,09/2010,12.792389473684212
Nepalese Rupee,06/2011,71.77047619047619
Nepalese Rupee,09/2010,73.77380952380952
New Zealand Dollar(1),06/2011,0.8150523809523811
New Zealand Dollar(1),09/2010,0.7262714285714287
Norwegian Krone,06/2011,5.445715789473684
Norwegian Krone,09/2010,6.0577
Rial Omani,06/2011,0.3845
Rial Omani,09/2010,0.3845
Pakistani Rupee,06/2011,85.84807954545454
Pakistani Rupee,09/2010,85.86025263157894
Nuevo Sol,06/2011,2.7631904761904766
Nuevo Sol,09/2010,2.7897894736842104
Philippine Peso,06/2011,43.35965
Philippine Peso,09/2010,44.02366666666667
Polish Zloty,06/2011,2.7565047619047625
Polish Zloty,09/2010,3.0285285714285712
Qatar Riyal,06/2011,3.64
Qatar Riyal,09/2010,3.6399999999999997
Russian Ruble,06/2011,27.982009523809523
Russian Ruble,09/2010,30.80616666666667
Saudi Arabian Riyal,06/2011,3.75
Saudi Arabian Riyal,09/2010,3.75
Singapore Dollar,06/2011,1.2346863636363634
Singapore Dollar,09/2010,1.33554
South African Rand,06/2011,6.797199999999999
South African Rand,09/2010,7.126249999999999
Sri Lanka Rupee,06/2011,109.59328095238095
Sri Lanka Rupee,09/2010,112.46685263157894
Swedish Krona,06/2011,6.339331578947369
Swedish Krona,09/2010,7.066666666666667
Swiss Franc,06/2011,0.8402578947368419
Swiss Franc,09/2010,1.0020684210526316
Thai Baht,06/2011,30.517318181818176
Thai Baht,09/2010,30.820761904761905
Trinidad And Tobago Dollar,06/2011,6.406795000000001
Trinidad And Tobago Dollar,09/2010,6.345352631578947
Tunisian Dinar,06/2011,1.371826315789474
Tunisian Dinar,09/2010,1.4609055555555557
U.A.E. Dirham,06/2011,3.6725000000000003
U.A.E. Dirham,09/2010,3.6725000000000003
Peso Uruguayo,06/2011,18.5186
Peso Uruguayo,09/2010,20.52331578947368
Bolivar Fuerte,06/2011,4.289299999999998
Bolivar Fuerte,09/2010,2.5934999999999997
Euro(1),06/2011,1.4388409090909091
Euro(1),09/2010,1.307619047619048
Euro(1),07/2011,1.4252499999999997
Japanese Yen,06/2011,80.51181818181819
Japanese Yen,09/2010,84.38526315789473
Japanese Yen,07/2011,79.3973684210526
U.K. Pound Sterling(1),06/2011,1.6215045454545456
U.K. Pound Sterling(1),09/2010,1.5574047619047615
U.K. Pound Sterling(1),07/2011,1.6124800000000001
U.S. Dollar,06/2011,1
U.S. Dollar,09/2010,1
U.S. Dollar,07/2011,1
Algerian Dinar,06/2011,71.92285789473685
Algerian Dinar,09/2010,75.11490555555555
Algerian Dinar,07/2011,72.14428333333333
Australian Dollar(1),06/2011,1.0602857142857143
Australian Dollar(1),09/2010,0.9367
Australian Dollar(1),07/2011,1.07675
Bahrain Dinar,06/2011,0.3760000000000001
Bahrain Dinar,09/2010,0.3760000000000001
Bahrain Dinar,07/2011,0.3760000000000001
Botswana Pula(1),06/2011,0.153
Botswana Pula(1),09/2010,0.14880000000000004
Botswana Pula(1),07/2011,0.15258
Brazilian Real,06/2011,1.5871272727272727
Brazilian Real,09/2010,1.7207857142857146
Brazilian Real,07/2011,1.5636199999999998
Brunei Dollar,06/2011,1.2346863636363634
Brunei Dollar,09/2010,1.33554
Brunei Dollar,07/2011,1.215738888888889
Canadian Dollar,06/2011,0.9767500000000001
Canadian Dollar,09/2010,1.0330857142857144
Canadian Dollar,07/2011,0.9554611111111113
Chilean Peso,06/2011,469.4119047619047
Chilean Peso,09/2010,493.8652631578948
Chilean Peso,07/2011,463.08315789473676
Chinese Yuan,06/2011,6.477838095238094
Chinese Yuan,09/2010,6.742023529411765
Chinese Yuan,07/2011,6.461215
Colombian Peso,06/2011,1
Colombian Peso,09/2010,1
Colombian Peso,07/2011,1
Czech Koruna,06/2011,16.879727272727276
Czech Koruna,09/2010,18.886849999999995
Czech Koruna,07/2011,17.098500000000005
Danish Krone,06/2011,5.186668421052632
Danish Krone,09/2010,5.698719047619047
Danish Krone,07/2011,5.231800000000001
Hungarian Forint,06/2011,185.3138095238095
Hungarian Forint,09/2010,215.5955
Hungarian Forint,07/2011,187.63599999999997
Icelandic Krona,06/2011,115.05578947368421
Icelandic Krona,09/2010,116.76619047619049
Icelandic Krona,07/2011,116.16600000000003
Indian Rupee,06/2011,44.85181818181818
Indian Rupee,09/2010,46.036842105263155
Indian Rupee,07/2011,44.415274999999994
Indonesian Rupiah,06/2011,8
Indonesian Rupiah,09/2010,8.277777777777779
Indonesian Rupiah,07/2011,8
Iranian Rial,06/2011,10.466666666666667
Iranian Rial,09/2010,10
Iranian Rial,07/2011,10
Israeli New Sheqel,06/2011,3.4223809523809527
Israeli New Sheqel,09/2010,3.7358571428571428
Israeli New Sheqel,07/2011,3.4217500000000007
Kazakhstani Tenge,06/2011,145.76500000000001
Kazakhstani Tenge,09/2010,147.37526315789472
Kazakhstani Tenge,07/2011,145.8763157894737
Korean Won,06/2011,1
Korean Won,09/2010,1
Korean Won,07/2011,1
Kuwaiti Dinar,06/2011,0.27432999999999996
Kuwaiti Dinar,09/2010,0.28642222222222224
Kuwaiti Dinar,07/2011,0.2737823529411765
