currency,month,value
Euro(1),03/2003,1.0806523809523811
Japanese Yen,03/2003,118.56800000000003
U.K. Pound Sterling(1),03/2003,1.5829095238095237
U.S. Dollar,03/2003,1
Algerian Dinar,03/2003,NaN
Australian Dollar(1),03/2003,0.6023238095238094
Bahrain Dinar,03/2003,0.3760000000000001
Botswana Pula(1),03/2003,0.19219285714285717
Brazilian Real,03/2003,3.4601944444444435
Brunei Dollar,03/2003,1.7527571428571427
Canadian Dollar,03/2003,1.475909523809524
Chilean Peso,03/2003,742.9335
Chinese Yuan,03/2003,8.277219047619047
Colombian Peso,03/2003,2
Czech Koruna,03/2003,29.392904761904756
Danish Krone,03/2003,6.874709523809524
Hungarian Forint,03/2003,227.2485714285714
Icelandic Krona,03/2003,78.78142857142856
Indian Rupee,03/2003,47.64105263157893
Indonesian Rupiah,03/2003,8.15
Iranian Rial,03/2003,7.9375
Israeli New Sheqel,03/2003,4.780947368421052
Kazakhstani Tenge,03/2003,NaN
Korean Won,03/2003,1
Kuwaiti Dinar,03/2003,0.29977533333333334
Libyan Dinar(2),03/2003,1.6447399999999994
Malaysian Ringgit,03/2003,3.7999999999999985
Mauritian Rupee,03/2003,27.200825000000002
Mexican Peso,03/2003,10.912390000000002
Nepalese Rupee,03/2003,78.04500000000002
New Zealand Dollar(1),03/2003,0.5543285714285714
Norwegian Krone,03/2003,7.26114761904762
Rial Omani,03/2003,0.3845
Pakistani Rupee,03/2003,57.883073809523836
Nuevo Sol,03/2003,NaN
Philippine Peso,03/2003,NaN
Polish Zloty,03/2003,4.01206
Qatar Riyal,03/2003,3.6399999999999997
Russian Ruble,03/2003,NaN
Saudi Arabian Riyal,03/2003,3.75
Singapore Dollar,03/2003,1.7527571428571427
South African Rand,03/2003,8.037749999999997
Sri Lanka Rupee,03/2003,96.93051499999999
Swedish Krona,03/2003,8.529761904761905
Swiss Franc,03/2003,1.3618105263157896
Thai Baht,03/2003,42.739210526315794
Trinidad And Tobago Dollar,03/2003,6.2600357142857135
Tunisian Dinar,03/2003,NaN
U.A.E. Dirham,03/2003,3.6725000000000003
Peso Uruguayo,03/2003,NaN
Bolivar Fuerte,03/2003,NaN
Euro(1),03/2003,1.0806523809523811
Euro(1),01/2002,0.8832863636363638
Japanese Yen,03/2003,118.56800000000003
Japanese Yen,01/2002,132.66473684210527
U.K. Pound Sterling(1),03/2003,1.5829095238095237
U.K. Pound Sterling(1),01/2002,1.4323727272727274
U.S. Dollar,03/2003,1
U.S. Dollar,01/2002,1
Algerian Dinar,03/2003,NaN
Algerian Dinar,01/2002,NaN
Australian Dollar(1),03/2003,0.6023238095238094
Australian Dollar(1),01/2002,0.5168666666666666
Bahrain Dinar,03/2003,0.3760000000000001
Bahrain Dinar,01/2002,0.3760000000000001
Botswana Pula(1),03/2003,0.19219285714285717
Botswana Pula(1),01/2002,0.1464409090909091
Brazilian Real,03/2003,3.4601944444444435
Brazilian Real,01/2002,2.3736249999999997
Brunei Dollar,03/2003,1.7527571428571427
Brunei Dollar,01/2002,1.8391047619047622
Canadian Dollar,03/2003,1.475909523809524
Canadian Dollar,01/2002,1.600286363636364
Chilean Peso,03/2003,742.9335
Chilean Peso,01/2002,547.73
Chinese Yuan,03/2003,8.277219047619047
