currency,month,value
Euro(1),02/2001,0.921705
Japanese Yen,02/2001,116.03736842105263
U.K. Pound Sterling(1),02/2001,1.4538499999999999
U.S. Dollar,02/2001,1
Algerian Dinar,02/2001,NaN
Australian Dollar(1),02/2001,0.5351200000000002
Bahrain Dinar,02/2001,0.3760000000000001
Botswana Pula(1),02/2001,0.18234210526315786
Brazilian Real,02/2001,1.996938888888889
Brunei Dollar,02/2001,1.7430550000000005
Canadian Dollar,02/2001,1.5218150000000004
Chilean Peso,02/2001,526.911052631579
Chinese Yuan,02/2001,8.277057894736842
Colombian Peso,02/2001,2
Czech Koruna,02/2001,NaN
Danish Krone,02/2001,8.094930000000002
Hungarian Forint,02/2001,288.12850000000003
Icelandic Krona,02/2001,85.9485
Indian Rupee,02/2001,46.51888888888889
Indonesian Rupiah,02/2001,NaN
Iranian Rial,02/2001,1
Israeli New Sheqel,02/2001,NaN
Kazakhstani Tenge,02/2001,NaN
Korean Won,02/2001,NaN
Kuwaiti Dinar,02/2001,0.30629866666666666
Libyan Dinar(2),02/2001,0.6619989999999999
Malaysian Ringgit,02/2001,3.7999999999999985
Mauritian Rupee,02/2001,NaN
Mexican Peso,02/2001,NaN
Nepalese Rupee,02/2001,74
New Zealand Dollar(1),02/2001,0.4348605263157895
Norwegian Krone,02/2001,8.916565
Rial Omani,02/2001,0.3845
Pakistani Rupee,02/2001,59.71535555555555
Nuevo Sol,02/2001,NaN
Philippine Peso,02/2001,NaN
Polish Zloty,02/2001,NaN
Qatar Riyal,02/2001,3.6399999999999997
Russian Ruble,02/2001,NaN
Saudi Arabian Riyal,02/2001,3.7449999999999997
Singapore Dollar,02/2001,1.7430550000000005
South African Rand,02/2001,7.8086
Sri Lanka Rupee,02/2001,86.97578235294117
Swedish Krona,02/2001,9.735710000000001
Swiss Franc,02/2001,1.6668749999999997
Thai Baht,02/2001,42.63857894736842
Trinidad And Tobago Dollar,02/2001,6.267827777777778
Tunisian Dinar,02/2001,NaN
U.A.E. Dirham,02/2001,3.6725000000000003
Peso Uruguayo,02/2001,NaN
Bolivar Fuerte,02/2001,NaN
Euro(1),02/2001,0.921705
Euro(1),09/2000,0.8721142857142856
Japanese Yen,02/2001,116.03736842105263
Japanese Yen,09/2000,106.752
U.K. Pound Sterling(1),02/2001,1.4538499999999999
U.K. Pound Sterling(1),09/2000,1.4345333333333334
