currency,month,value
Euro(1),01/2005,1.311928571428571
Japanese Yen,01/2005,103.20894736842105
U.K. Pound Sterling(1),01/2005,1.878528571428571
U.S. Dollar,01/2005,1
Algerian Dinar,01/2005,NaN
Australian Dollar(1),01/2005,0.7647421052631579
Bahrain Dinar,01/2005,0.3760000000000001
Botswana Pula(1),01/2005,0.22482368421052631
Brazilian Real,01/2005,2.693
Brunei Dollar,01/2005,1.63812
Canadian Dollar,01/2005,1.2290384615384615
Chilean Peso,01/2005,574.1195238095239
Chinese Yuan,01/2005,8.2765
Colombian Peso,01/2005,2
Czech Koruna,01/2005,23.09575
Danish Krone,01/2005,5.671971428571428
Hungarian Forint,01/2005,187.593
Icelandic Krona,01/2005,62.58571428571428
Indian Rupee,01/2005,43.75684210526316
Indonesian Rupiah,01/2005,9
Iranian Rial,01/2005,8
Israeli New Sheqel,01/2005,4.376421052631579
Kazakhstani Tenge,01/2005,NaN
Korean Won,01/2005,1
Kuwaiti Dinar,01/2005,0.2919999999999999
Libyan Dinar(2),01/2005,1.9323669999999997
Malaysian Ringgit,01/2005,3.7999999999999985
Mauritian Rupee,01/2005,28.397133333333336
Mexican Peso,01/2005,11.257092857142856
Nepalese Rupee,01/2005,70.96473684210525
New Zealand Dollar(1),01/2005,0.7034777777777776
Norwegian Krone,01/2005,6.259505000000002
Rial Omani,01/2005,0.3845
Pakistani Rupee,01/2005,59.12400000000002
Nuevo Sol,01/2005,NaN
Philippine Peso,01/2005,NaN
Polish Zloty,01/2005,3.1087095238095244
Qatar Riyal,01/2005,3.6399999999999997
Russian Ruble,01/2005,28.01422307692308
Saudi Arabian Riyal,01/2005,3.75
Singapore Dollar,01/2005,1.63812
South African Rand,01/2005,5.98111111111111
Sri Lanka Rupee,01/2005,99.6421888888889
Swedish Krona,01/2005,6.89828947368421
Swiss Franc,01/2005,1.1775749999999998
Thai Baht,01/2005,38.76031578947368
Trinidad And Tobago Dollar,01/2005,6.272113333333334
Tunisian Dinar,01/2005,NaN
U.A.E. Dirham,01/2005,3.6725000000000003
Peso Uruguayo,01/2005,NaN
Bolivar Fuerte,01/2005,NaN
Euro(1),01/2005,1.311928571428571
Euro(1),07/2004,1.2265863636363636
Japanese Yen,01/2005,103.20894736842105
Japanese Yen,07/2004,109.36380952380952
U.K. Pound Sterling(1),01/2005,1.878528571428571
U.K. Pound Sterling(1),07/2004,1.8414636363636367
U.S. Dollar,01/2005,1
U.S. Dollar,07/2004,1
Algerian Dinar,01/2005,NaN
Algerian Dinar,07/2004,NaN
Australian Dollar(1),01/2005,0.7647421052631579
Australian Dollar(1),07/2004,0.7163909090909093
Bahrain Dinar,01/2005,0.3760000000000001
Bahrain Dinar,07/2004,0.3760000000000001
Botswana Pula(1),01/2005,0.22482368421052631
Botswana Pula(1),07/2004,0.21803
Brazilian Real,01/2005,2.693
Brazilian Real,07/2004,3.039035
Brunei Dollar,01/2005,1.63812
Brunei Dollar,07/2004,1.71205
Canadian Dollar,01/2005,1.2290384615384615
Canadian Dollar,07/2004,1.3227818181818183
Chilean Peso,01/2005,574.1195238095239
Chilean Peso,07/2004,632.3936363636363
Chinese Yuan,01/2005,8.2765
Chinese Yuan,07/2004,8.276733333333336
Colombian Peso,01/2005,2
Colombian Peso,07/2004,2
Czech Koruna,01/2005,23.09575
Czech Koruna,07/2004,25.708750000000002
Danish Krone,01/2005,5.671971428571428
Danish Krone,07/2004,6.062568181818182
Hungarian Forint,01/2005,187.593
Hungarian Forint,07/2004,203.60333333333332
Icelandic Krona,01/2005,62.58571428571428
Icelandic Krona,07/2004,71.51954545454545
Indian Rupee,01/2005,43.75684210526316
Indian Rupee,07/2004,46.04363636363636
Indonesian Rupiah,01/2005,9
Indonesian Rupiah,07/2004,8.421052631578947
Iranian Rial,01/2005,8
Iranian Rial,07/2004,8
Israeli New Sheqel,01/2005,4.376421052631579
Israeli New Sheqel,07/2004,4.491238095238096
Kazakhstani Tenge,01/2005,NaN
Kazakhstani Tenge,07/2004,NaN
Korean Won,01/2005,1
Korean Won,07/2004,1
Kuwaiti Dinar,01/2005,0.2919999999999999
Kuwaiti Dinar,07/2004,0.2947
Libyan Dinar(2),01/2005,1.9323669999999997
Libyan Dinar(2),07/2004,1.9323669999999995
Malaysian Ringgit,01/2005,3.7999999999999985
Malaysian Ringgit,07/2004,3.7999999999999985
Mauritian Rupee,01/2005,28.397133333333336
Mauritian Rupee,07/2004,28.178804761904765
Mexican Peso,01/2005,11.257092857142856
Mexican Peso,07/2004,11.463761904761904
Nepalese Rupee,01/2005,70.96473684210525
Nepalese Rupee,07/2004,74.65624999999996
New Zealand Dollar(1),01/2005,0.7034777777777776
New Zealand Dollar(1),07/2004,0.6465727272727272
Norwegian Krone,01/2005,6.259505000000002
Norwegian Krone,07/2004,6.910140909090909
Rial Omani,01/2005,0.3845
Rial Omani,07/2004,0.3845
Pakistani Rupee,01/2005,59.12400000000002
Pakistani Rupee,07/2004,58.24094999999999
Nuevo Sol,01/2005,NaN
Nuevo Sol,07/2004,NaN
Philippine Peso,01/2005,NaN
Philippine Peso,07/2004,NaN
Polish Zloty,01/2005,3.1087095238095244
Polish Zloty,07/2004,3.6381333333333337
Qatar Riyal,01/2005,3.6399999999999997
Qatar Riyal,07/2004,3.6399999999999997
Russian Ruble,01/2005,28.01422307692308
Russian Ruble,07/2004,29.085790476190482
Saudi Arabian Riyal,01/2005,3.75
Saudi Arabian Riyal,07/2004,3.75
Singapore Dollar,01/2005,1.63812
Singapore Dollar,07/2004,1.71205
South African Rand,01/2005,5.98111111111111
South African Rand,07/2004,6.1207142857142856
Sri Lanka Rupee,01/2005,99.6421888888889
Sri Lanka Rupee,07/2004,102.84610952380953
Swedish Krona,01/2005,6.89828947368421
Swedish Krona,07/2004,7.495749999999999
Swiss Franc,01/2005,1.1775749999999998
Swiss Franc,07/2004,1.2449952380952378
Thai Baht,01/2005,38.76031578947368
Thai Baht,07/2004,40.935285714285705
Trinidad And Tobago Dollar,01/2005,6.272113333333334
Trinidad And Tobago Dollar,07/2004,6.271933333333333
Tunisian Dinar,01/2005,NaN
Tunisian Dinar,07/2004,NaN
U.A.E. Dirham,01/2005,3.6725000000000003
U.A.E. Dirham,07/2004,3.6725
Peso Uruguayo,01/2005,NaN
Peso Uruguayo,07/2004,NaN
Bolivar Fuerte,01/2005,NaN
Bolivar Fuerte,07/2004,NaN
Euro(1),01/2005,1.311928571428571
Euro(1),07/2004,1.2265863636363636
Euro(1),02/2005,1.3014249999999998
Japanese Yen,01/2005,103.20894736842105
Japanese Yen,07/2004,109.36380952380952
Japanese Yen,02/2005,104.88105263157895
U.K. Pound Sterling(1),01/2005,1.878528571428571
U.K. Pound Sterling(1),07/2004,1.8414636363636367
U.K. Pound Sterling(1),02/2005,1.8876199999999996
U.S. Dollar,01/2005,1
U.S. Dollar,07/2004,1
U.S. Dollar,02/2005,1
Algerian Dinar,01/2005,NaN
Algerian Dinar,07/2004,NaN
Algerian Dinar,02/2005,NaN
Australian Dollar(1),01/2005,0.7647421052631579
Australian Dollar(1),07/2004,0.7163909090909093
Australian Dollar(1),02/2005,0.7807449999999998
Bahrain Dinar,01/2005,0.3760000000000001
Bahrain Dinar,07/2004,0.3760000000000001
Bahrain Dinar,02/2005,0.3760000000000001
Botswana Pula(1),01/2005,0.22482368421052631
Botswana Pula(1),07/2004,0.21803
Botswana Pula(1),02/2005,0.22286052631578954
Brazilian Real,01/2005,2.693
Brazilian Real,07/2004,3.039035
Brazilian Real,02/2005,2.6018999999999997
Brunei Dollar,01/2005,1.63812
Brunei Dollar,07/2004,1.71205
Brunei Dollar,02/2005,1.637988888888889
Canadian Dollar,01/2005,1.2290384615384615
Canadian Dollar,07/2004,1.3227818181818183
Canadian Dollar,02/2005,1.2389823529411765
Chilean Peso,01/2005,574.1195238095239
Chilean Peso,07/2004,632.3936363636363
Chilean Peso,02/2005,573.5840000000001
Chinese Yuan,01/2005,8.2765
Chinese Yuan,07/2004,8.276733333333336
Chinese Yuan,02/2005,8.2765
Colombian Peso,01/2005,2
Colombian Peso,07/2004,2
Colombian Peso,02/2005,2
Czech Koruna,01/2005,23.09575
Czech Koruna,07/2004,25.708750000000002
Czech Koruna,02/2005,23.0135
Danish Krone,01/2005,5.671971428571428
Danish Krone,07/2004,6.062568181818182
Danish Krone,02/2005,5.719635000000001
Hungarian Forint,01/2005,187.593
Hungarian Forint,07/2004,203.60333333333332
Hungarian Forint,02/2005,187.27631578947367
Icelandic Krona,01/2005,62.58571428571428
Icelandic Krona,07/2004,71.51954545454545
Icelandic Krona,02/2005,62.013999999999996
Indian Rupee,01/2005,43.75684210526316
Indian Rupee,07/2004,46.04363636363636
Indian Rupee,02/2005,43.677000000000014
Indonesian Rupiah,01/2005,9
Indonesian Rupiah,07/2004,8.421052631578947
Indonesian Rupiah,02/2005,9
Iranian Rial,01/2005,8
Iranian Rial,07/2004,8
Iranian Rial,02/2005,8
Israeli New Sheqel,01/2005,4.376421052631579
Israeli New Sheqel,07/2004,4.491238095238096
Israeli New Sheqel,02/2005,4.37078947368421
Kazakhstani Tenge,01/2005,NaN
Kazakhstani Tenge,07/2004,NaN
Kazakhstani Tenge,02/2005,NaN
Korean Won,01/2005,1
Korean Won,07/2004,1
Korean Won,02/2005,1
Kuwaiti Dinar,01/2005,0.2919999999999999
Kuwaiti Dinar,07/2004,0.2947
Kuwaiti Dinar,02/2005,0.2919999999999999
Libyan Dinar(2),01/2005,1.9323669999999997
Libyan Dinar(2),07/2004,1.9323669999999995
Libyan Dinar(2),02/2005,1.9323669999999997
Malaysian Ringgit,01/2005,3.7999999999999985
Malaysian Ringgit,07/2004,3.7999999999999985
Malaysian Ringgit,02/2005,3.7999999999999985
Mauritian Rupee,01/2005,28.397133333333336
Mauritian Rupee,07/2004,28.178804761904765
