id,year,value
MR,2001,
MU,2001,38.70000076
MW,2001,
MY,2001,33.09999847
NA,2001,
NC,2001,
NE,2001,
NG,2001,
NI,2001,14.69999981
NL,2001,20.39999962
NO,2001,21.70000076
NP,2001,13.39999962
NZ,2001,22.79999924
OM,2001,
PK,2001,18
PA,2001,16.89999962
PE,2001,19.5
PH,2001,16.20000076
PW,2001,
PG,2001,
PL,2001,30.5
PR,2001,21.70000076
KP,2001,
PT,2001,33.40000153
PY,2001,16.89999962
PF,2001,9.100000381
QA,2001,38.20000076
RO,2001,26.20000076
RU,2001,29.39999962
RW,2001,
SA,2001,21
SD,2001,
SN,2001,12.39999962
SG,2001,25.79999924
SB,2001,
SL,2001,
SV,2001,23.60000038
SM,2001,41.20000076
SO,2001,
RS,2001,
SS,2001,
ST,2001,
SR,2001,
SK,2001,37.59999847
SI,2001,38.09999847
SE,2001,23.79999924
SZ,2001,
SX,2001,
SC,2001,
SY,2001,26.20000076
TC,2001,17.5
TD,2001,
TG,2001,
TH,2001,18.79999924
TJ,2001,
TM,2001,
TL,2001,
TO,2001,
TT,2001,28.79999924
TN,2001,
TR,2001,22.70000076
TV,2001,
TZ,2001,2.599999905
UG,2001,
UA,2001,26.29999924
UY,2001,23.79999924
US,2001,22.60000038
UZ,2001,
VC,2001,19.60000038
VE,2001,22.10000038
VI,2001,
VN,2001,13.89999962
VU,2001,
PS,2001,28.70000076
WS,2001,19.70000076
YE,2001,
ZA,2001,26
CD,2001,
ZM,2001,
ZW,2001,
AW,2002,
AD,2002,
AF,2002,
AO,2002,
AL,2002,13.69999981
AE,2002,
AR,2002,20.20000076
AM,2002,17
AS,2002,
AG,2002,15.60000038
AU,2002,21.10000038
AT,2002,29.39999962
AZ,2002,11.5
BI,2002,
BE,2002,25.79999924
BJ,2002,
BF,2002,
BD,2002,
BG,2002,32.59999847
BH,2002,
BS,2002,16.60000038
BA,2002,
BY,2002,
BZ,2002,
BM,2002,11.69999981
BO,2002,18.79999924
BR,2002,21.39999962
BB,2002,18.70000076
