value,type,filename,urban,ynm,attended,level,numerical,inadequate,urban.inadequate,rural.inadequate
higher,school,Afghanistan_MICS4_Datasets,,,,higher,NAN,NAN,NAN,NAN
missing,water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
NAN,water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
2,ynm,Afghanistan_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Afghanistan_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Afghanistan_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Afghanistan_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
NAN,attended,Afghanistan_MICS4_Datasets,,,NAN,,NAN,NAN,NAN,NAN
missing,school,Afghanistan_MICS4_Datasets,,,,NAN,NAN,NAN,NAN,NAN
NAN,school,Afghanistan_MICS4_Datasets,,,,NAN,NAN,NAN,NAN,NAN
3,ynm,Afghanistan_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
3,ynm,Afghanistan_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
3,ynm,Afghanistan_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
3,ynm,Afghanistan_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
no,attended,Afghanistan_MICS4_Datasets,,,0,,NAN,NAN,NAN,NAN
other,water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
missing,ynm,Afghanistan_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
urban,urban.rural,Afghanistan_MICS4_Datasets,1,,,,NAN,NAN,NAN,NAN
NAN,ynm,Afghanistan_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Afghanistan_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Afghanistan_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Afghanistan_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Afghanistan_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
preschool,school,Afghanistan_MICS4_Datasets,,,,preschool,NAN,NAN,NAN,NAN
primary,school,Afghanistan_MICS4_Datasets,,,,primary,NAN,NAN,NAN,NAN
yes,attended,Afghanistan_MICS4_Datasets,,,1,,NAN,NAN,NAN,NAN
secondary,school,Afghanistan_MICS4_Datasets,,,,secondary,NAN,NAN,NAN,NAN
no,ynm,Afghanistan_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
yes,ynm,Afghanistan_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Albania MICS 2005 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Albania MICS 2005 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Albania MICS 2005 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Albania MICS 2005 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
bricks,wall,Albania MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
NAN,wall,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
cement blocks,wall,Albania MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
stone with lime/cement,wall,Albania MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
stone with mud,wall,Albania MICS 2005 SPSS Datasets,,,,,FALSE,1,NAN,NAN
cement,wall,Albania MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
other,wall,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
covered adobe,wall,Albania MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
ceramic tiles,floor,Albania MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
NAN,floor,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
cement,floor,Albania MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
