value,type,filename,urban,ynm,attended,level,numerical,inadequate,urban.inadequate,rural.inadequate
secundaria,school,Costa Rica_MICS4_Datasets,,,,secondary,NAN,NAN,NAN,NAN
superior,school,Costa Rica_MICS4_Datasets,,,,higher,NAN,NAN,NAN,NAN
sí,ynm,Costa Rica_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
urbana,urban.rural,Costa Rica_MICS4_Datasets,1,,,,NAN,NAN,NAN,NAN
agua de superficie,water,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,1,1
agua embasada,water,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,0,0
arroyo protegido,water,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,1,0
arroyo sin proteger,water,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,1,1
camión,water,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,1,1
rural,urban.rural,Cuba MICS 2006 SPSS Datasets,0,,,,NAN,NAN,NAN,NAN
carro con sifón,water,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,1,1
colección de aguas lluvia,water,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,1,1
NAN,wall,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,NAN,NAN
NAN,floor,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,NAN,NAN
llave pública,water,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,1,0
manantial/noria,water,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,1,1
NAN,toilets,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,NAN,NAN
NAN,water,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,NAN,NAN
NAN,attended,Cuba MICS 2006 SPSS Datasets,,,NAN,,NAN,NAN,NAN,NAN
NAN,school,Cuba MICS 2006 SPSS Datasets,,,,NAN,NAN,NAN,NAN,NAN
NAN,ynm,Cuba MICS 2006 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Cuba MICS 2006 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Cuba MICS 2006 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Cuba MICS 2006 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Cuba MICS 2006 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
otro,water,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,NAN,NAN
pozo protegido,water,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,1,0
pozo sin proteger,water,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,1,1
urbana,urban.rural,Cuba MICS 2006 SPSS Datasets,1,,,,NAN,NAN,NAN,NAN
tubería al hogar,water,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,0,0
tubería en el patio/parcela,water,Cuba MICS 2006 SPSS Datasets,,,,,NAN,NAN,0,0
"agua de superficie (río, arroyo, represa, lago, estanque, canal, canal de irrigación)",water,Cuba_MICS4_Datasets,,,,,NAN,NAN,1,1
agua embotellada/envasada,water,Cuba_MICS4_Datasets,,,,,NAN,NAN,0,0
camión cisterna (pipa),water,Cuba_MICS4_Datasets,,,,,NAN,NAN,1,1
carreta con tanque,water,Cuba_MICS4_Datasets,,,,,NAN,NAN,1,1
rural,urban.rural,Cuba_MICS4_Datasets,0,,,,NAN,NAN,NAN,NAN
llave pública,water,Cuba_MICS4_Datasets,,,,,NAN,NAN,1,0
manantial no protegido,water,Cuba_MICS4_Datasets,,,,,NAN,NAN,1,1
manantial protegido,water,Cuba_MICS4_Datasets,,,,,NAN,NAN,1,0
NAN,wall,Cuba_MICS4_Datasets,,,,,NAN,NAN,NAN,NAN
NAN,floor,Cuba_MICS4_Datasets,,,,,NAN,NAN,NAN,NAN
NAN,toilets,Cuba_MICS4_Datasets,,,,,NAN,NAN,NAN,NAN
NAN,water,Cuba_MICS4_Datasets,,,,,NAN,NAN,NAN,NAN
NAN,attended,Cuba_MICS4_Datasets,,,NAN,,NAN,NAN,NAN,NAN
NAN,school,Cuba_MICS4_Datasets,,,,NAN,NAN,NAN,NAN,NAN
NAN,ynm,Cuba_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Cuba_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Cuba_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Cuba_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Cuba_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
otras,water,Cuba_MICS4_Datasets,,,,,NAN,NAN,NAN,NAN
pozo con tubería,water,Cuba_MICS4_Datasets,,,,,NAN,NAN,1,0
pozo no protegido,water,Cuba_MICS4_Datasets,,,,,NAN,NAN,1,1
pozo protegido,water,Cuba_MICS4_Datasets,,,,,NAN,NAN,1,0
recogen agua de lluvia,water,Cuba_MICS4_Datasets,,,,,NAN,NAN,1,1
tubería al vecino,water,Cuba_MICS4_Datasets,,,,,NAN,NAN,1,0
tubería dentro de la vivienda,water,Cuba_MICS4_Datasets,,,,,NAN,NAN,0,0
tubería dentro del patio o parcela,water,Cuba_MICS4_Datasets,,,,,NAN,NAN,0,0
urbana,urban.rural,Cuba_MICS4_Datasets,1,,,,NAN,NAN,NAN,NAN
"agua de superficie (rã­o, arroyo, represa, lago, estanque, canal, canal de irrigaciã³n)",water,Cuba_MICS5_Datasets,,,,,NAN,NAN,1,1
agua embotellada/envasada,water,Cuba_MICS5_Datasets,,,,,NAN,NAN,0,0
camiã³n cisterna (pipa),water,Cuba_MICS5_Datasets,,,,,NAN,NAN,1,1
carreta con tanque,water,Cuba_MICS5_Datasets,,,,,NAN,NAN,1,1
rural,urban.rural,Cuba_MICS5_Datasets,0,,,,NAN,NAN,NAN,NAN
llave pãºblica,water,Cuba_MICS5_Datasets,,,,,NAN,NAN,1,0
manantial no protegido,water,Cuba_MICS5_Datasets,,,,,NAN,NAN,1,1
manantial protegido,water,Cuba_MICS5_Datasets,,,,,NAN,NAN,1,0
NAN,wall,Cuba_MICS5_Datasets,,,,,NAN,NAN,NAN,NAN
NAN,floor,Cuba_MICS5_Datasets,,,,,NAN,NAN,NAN,NAN
NAN,toilets,Cuba_MICS5_Datasets,,,,,NAN,NAN,NAN,NAN
NAN,water,Cuba_MICS5_Datasets,,,,,NAN,NAN,NAN,NAN
NAN,attended,Cuba_MICS5_Datasets,,,NAN,,NAN,NAN,NAN,NAN
NAN,school,Cuba_MICS5_Datasets,,,,NAN,NAN,NAN,NAN,NAN
omitido,water,Cuba_MICS5_Datasets,,,,,NAN,NAN,NAN,NAN
NAN,ynm,Cuba_MICS5_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Cuba_MICS5_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Cuba_MICS5_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Cuba_MICS5_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Cuba_MICS5_Datasets,,NAN,,,NAN,NAN,NAN,NAN
otra,water,Cuba_MICS5_Datasets,,,,,NAN,NAN,NAN,NAN
pozo con tuberã­a,water,Cuba_MICS5_Datasets,,,,,NAN,NAN,1,0
pozo no protegido,water,Cuba_MICS5_Datasets,,,,,NAN,NAN,1,1
pozo protegido,water,Cuba_MICS5_Datasets,,,,,NAN,NAN,1,0
recogen agua de lluvia,water,Cuba_MICS5_Datasets,,,,,NAN,NAN,1,1
tuberã­a dentro de la vivienda,water,Cuba_MICS5_Datasets,,,,,NAN,NAN,0,0
tuberã­a dentro del patio o parcela,water,Cuba_MICS5_Datasets,,,,,NAN,NAN,0,0
tuberã­a en la vivienda del vecino,water,Cuba_MICS5_Datasets,,,,,NAN,NAN,1,0
urbano,urban.rural,Cuba_MICS5_Datasets,1,,,,NAN,NAN,NAN,NAN
1,ynm,Democratic Republic of Congo_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Democratic Republic of Congo_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Democratic Republic of Congo_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Democratic Republic of Congo_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
autre,water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
manquant,attended,Democratic Republic of Congo_MICS4_Datasets,,,NAN,,NAN,NAN,NAN,NAN
rural,urban.rural,Democratic Republic of Congo_MICS4_Datasets,0,,,,NAN,NAN,NAN,NAN
briques,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
autre,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
ciment,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
blocs de ciment,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
NAN,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
planches en bois / de shingles,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
pierre avec chaux/ciment,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
adobe recouvert,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
bois de récupération,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
manquant,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
pas de murs,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
adobe non recouvert,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
contre-plaqué,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
pierre avec boue,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
bambou avec boue,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
mottes de terre,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
canne / palmes / troncs,wall,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
carrelage,floor,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
terre / sable,floor,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
ciment,floor,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
NAN,floor,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
moquette,floor,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
autre,floor,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
manquant,floor,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
parque ou bois ciré,floor,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
bouse,floor,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
palmes / bambou,floor,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
planches en bois,floor,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
"robinet dans quartier, cour ou parcelle",water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,1,0
robinet du voisin,water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,1,0
robinet dans le logement,water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,0,0
eau en sachet,water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,0,0
eau en bouteille,water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,0,0
source protégée,water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,1,0
"puits à pompe, forage",water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,1,0
source non protégée,water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,1,1
puits non protégé,water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,1,1
robinet public / borne fontaine,water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,1,0
puits protégé,water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,1,0
"eau de surface (rivière, fleuve, barrage, lac, mare, canal, canal d'irrigation)",water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,1,1
eau de pluie,water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,1,1
charrette avec petite citerne / tonneau,water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,1,1
camion-citerne,water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,1,1
latrines à fosse avec dalle,toilets,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
latrines à fosse sans dalle / trou ouvert,toilets,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
chasse connectée à fosse septique,toilets,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
pas de toilettes ou brousse ou champ,toilets,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
seaux,toilets,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
NAN,toilets,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
chasse reliée à autre chose,toilets,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
latrines améliorées ventilées (lav),toilets,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
chasse connectée à système d'égouts,toilets,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
autre,toilets,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
toilettes à compostage,toilets,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
chasse reliée à des latrines,toilets,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
toilettes / latrines suspendues,toilets,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
chasse reliée à endroit inconnu / pas sûr / nsp où,toilets,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
manquant,toilets,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
NAN,water,Democratic Republic of Congo_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
2,ynm,Democratic Republic of Congo_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Democratic Republic of Congo_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Democratic Republic of Congo_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Democratic Republic of Congo_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
NAN,attended,Democratic Republic of Congo_MICS4_Datasets,,,NAN,,NAN,NAN,NAN,NAN
manquant,school,Democratic Republic of Congo_MICS4_Datasets,,,,NAN,NAN,NAN,NAN,NAN
maternelle,school,Democratic Republic of Congo_MICS4_Datasets,,,,preschool,NAN,NAN,NAN,NAN
NAN,school,Democratic Republic of Congo_MICS4_Datasets,,,,NAN,NAN,NAN,NAN,NAN
3,ynm,Democratic Republic of Congo_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
3,ynm,Democratic Republic of Congo_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
3,ynm,Democratic Republic of Congo_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
3,ynm,Democratic Republic of Congo_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
urbain,urban.rural,Democratic Republic of Congo_MICS4_Datasets,1,,,,NAN,NAN,NAN,NAN
nsp,school,Democratic Republic of Congo_MICS4_Datasets,,,,NAN,NAN,NAN,NAN,NAN
manquant,ynm,Democratic Republic of Congo_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Democratic Republic of Congo_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Democratic Republic of Congo_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Democratic Republic of Congo_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Democratic Republic of Congo_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Democratic Republic of Congo_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
primaire,school,Democratic Republic of Congo_MICS4_Datasets,,,,primary,NAN,NAN,NAN,NAN
non,attended,Democratic Republic of Congo_MICS4_Datasets,,,0,,NAN,NAN,NAN,NAN
oui,attended,Democratic Republic of Congo_MICS4_Datasets,,,1,,NAN,NAN,NAN,NAN
secondaire,school,Democratic Republic of Congo_MICS4_Datasets,,,,secondary,NAN,NAN,NAN,NAN
supérieur,school,Democratic Republic of Congo_MICS4_Datasets,,,,higher,NAN,NAN,NAN,NAN
non,ynm,Democratic Republic of Congo_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
oui,ynm,Democratic Republic of Congo_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Djibouti MICS 2006 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Djibouti MICS 2006 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Djibouti MICS 2006 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Djibouti MICS 2006 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
autre,water,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
manquant,attended,Djibouti MICS 2006 SPSS Datasets,,,NAN,,NAN,NAN,NAN,NAN
ecole maternelle,school,Djibouti MICS 2006 SPSS Datasets,,,,preschool,NAN,NAN,NAN,NAN
rural,urban.rural,Djibouti MICS 2006 SPSS Datasets,0,,,,NAN,NAN,NAN,NAN
manquant,water,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
ciment,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
pierre avec chaux/ciment,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
contre-plaque,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
NAN,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
blocs de ciment,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
briques,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
manquant,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
bois de recuperation,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
carton,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
autres,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
planche de bois/shingles,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
adobe recouvert,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
pierre avec boue,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
pas de mur,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
palmes/tronc,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
mottes de terre,wall,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
ciment,floor,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
carrelage,floor,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
NAN,floor,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
manquant,floor,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
terre/sable,floor,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
parquet ou bois cire,floor,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
moquette,floor,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
planche en bois,floor,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
autres,floor,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
bouse,floor,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
palmes/bambou,floor,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
eau en bouteille,water,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,0,0
dans la cour/parcelle,water,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,0,0
eau de robinet dans le logement,water,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,0,0
camion citerne,water,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,1
robinet public/borne fontaine,water,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,0
charrette avec petite citerne/tonneau,water,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,1
puits protege,water,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,0
puits non protege,water,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,1
source non protegee,water,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,1
source protegee,water,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,0
eau de pluie,water,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,1
eau de surface,water,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,1
chasse branchee a fosse septique,toilets,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
NAN,toilets,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
chasse branchee a latrines,toilets,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
chasse branchee a l'egout,toilets,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
pas de toilettes ou brousse ou champ,toilets,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
latrines couvertes,toilets,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
latrines a fosses/trou ouvert,toilets,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
latrines ameliorees auto aerees (laa),toilets,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
chasse branchee a autre chose,toilets,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
manquant,toilets,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
autres,toilets,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
inconnu,toilets,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
toilette suspendues/latrines suspendues,toilets,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
toilettes a compostage,toilets,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
NAN,water,Djibouti MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
2,ynm,Djibouti MICS 2006 SPSS Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Djibouti MICS 2006 SPSS Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Djibouti MICS 2006 SPSS Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Djibouti MICS 2006 SPSS Datasets,,0,,,NAN,NAN,NAN,NAN
NAN,attended,Djibouti MICS 2006 SPSS Datasets,,,NAN,,NAN,NAN,NAN,NAN
manquant,school,Djibouti MICS 2006 SPSS Datasets,,,,NAN,NAN,NAN,NAN,NAN
NAN,school,Djibouti MICS 2006 SPSS Datasets,,,,NAN,NAN,NAN,NAN,NAN
3,ynm,Djibouti MICS 2006 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
3,ynm,Djibouti MICS 2006 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
3,ynm,Djibouti MICS 2006 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
3,ynm,Djibouti MICS 2006 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
urbain,urban.rural,Djibouti MICS 2006 SPSS Datasets,1,,,,NAN,NAN,NAN,NAN
nsp,school,Djibouti MICS 2006 SPSS Datasets,,,,NAN,NAN,NAN,NAN,NAN
manquant,ynm,Djibouti MICS 2006 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Djibouti MICS 2006 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Djibouti MICS 2006 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Djibouti MICS 2006 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Djibouti MICS 2006 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Djibouti MICS 2006 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
primaire,school,Djibouti MICS 2006 SPSS Datasets,,,,primary,NAN,NAN,NAN,NAN
non,attended,Djibouti MICS 2006 SPSS Datasets,,,0,,NAN,NAN,NAN,NAN
oui,attended,Djibouti MICS 2006 SPSS Datasets,,,1,,NAN,NAN,NAN,NAN
programme non-formel,school,Djibouti MICS 2006 SPSS Datasets,,,,primary,NAN,NAN,NAN,NAN
secondaire,school,Djibouti MICS 2006 SPSS Datasets,,,,secondary,NAN,NAN,NAN,NAN
superieur,school,Djibouti MICS 2006 SPSS Datasets,,,,higher,NAN,NAN,NAN,NAN
non,ynm,Djibouti MICS 2006 SPSS Datasets,,0,,,NAN,NAN,NAN,NAN
oui,ynm,Djibouti MICS 2006 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
lower egypt expansion,urban.rural,Egypt (Sub-national)_MICS5_Datasets,NAN,,,,NAN,NAN,NAN,NAN
1,ynm,Egypt (Sub-national)_MICS5_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Egypt (Sub-national)_MICS5_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Egypt (Sub-national)_MICS5_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Egypt (Sub-national)_MICS5_Datasets,,1,,,NAN,NAN,NAN,NAN
dk,school,Egypt (Sub-national)_MICS5_Datasets,,,,NAN,NAN,NAN,NAN,NAN
higher,school,Egypt (Sub-national)_MICS5_Datasets,,,,higher,NAN,NAN,NAN,NAN
cement,wall,Egypt (Sub-national)_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
covered adobe,wall,Egypt (Sub-national)_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
NAN,wall,Egypt (Sub-national)_MICS5_Datasets,,,,,FALSE,NAN,NAN,NAN
wood planks / shingles,wall,Egypt (Sub-national)_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
