"RECIPIENT","metaSector","Total 2000-2014"
"Democratic People's Republic of Korea","Governance, peace and security",22.401358
"Democratic People's Republic of Korea","Humanitarian aid",532.847496
"Democratic People's Republic of Korea","Other country programmable aid",205.653987
"Democratic People's Republic of Korea","Other non-country programmable aid",131.110202
"Democratic People's Republic of Korea","Public service provision",29.880255
