"DONOR","RECIPIENT","obsTime","obsValue"
"United Kingdom","Micronesia",2013,0.0146138286317845
"United Kingdom","Palau",2013,0.00730691431589226
"United Kingdom","Papua New Guinea",2013,0.210439132297697
"United Kingdom","Solomon Islands",2013,0.163674880675987
"United Kingdom","Tokelau",2013,0.00146138286317845
"United Kingdom","Tonga",2013,0.0175365943581414
"United Kingdom","Tuvalu",2013,0.00292276572635691
"United Kingdom","Wallis and Futuna",2013,0.131524457686061
"United Kingdom","Samoa",2013,0.192902537939556
"United Kingdom","Oceania, regional",2013,1.38100680570364
"United Kingdom","Europe, regional",2013,9.58813296531383
"United Kingdom","Developing Countries unspecified",2013,9.27978118118317
