Region,District,Sector/MDA/MMDA,Central GOG and CF: Comp of Emp,Central GOG and CF: Goods/Service,Central GOG and CF: Assets (Capital),Central GOG and CF: Total,IGF: Comp of Emp,IGF: Goods/Service,IGF: Assets (Capital),IGF: Total,Funds/Others: Comp of Emp,Funds/Others: Goods/Service,Funds/Others: Assets (Capital),Funds/Others: Total,Donor: Comp of Emp,Donor: Goods/Service,Donor: Assets (Capital),Donor: Total,Grand Total Less NREG / Statutory
Brong Ahafo Region,Jaman-North,Office of Departmental Head,"85,556",0,0,"85,556",0,0,0,0,0,0,0,0,0,0,0,0,"85,556"
Brong Ahafo Region,Jaman-North,Public Works,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Jaman-North,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Jaman-North,Feeder Roads,0,"3,185","60,000","63,185",0,0,0,0,0,0,0,0,0,0,0,0,"63,185"
Brong Ahafo Region,Jaman-North,Rural Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Jaman-North,"Trade, Industry and Tourism","15,083",0,0,"15,083",0,0,0,0,0,0,0,0,0,0,0,0,"15,083"
Brong Ahafo Region,Jaman-North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Jaman-North,Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Jaman-North,Cottage Industry,"15,083",0,0,"15,083",0,0,0,0,0,0,0,0,0,0,0,0,"15,083"
Brong Ahafo Region,Jaman-North,Tourism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Jaman-North,Budget and Rating,"12,320",0,0,"12,320",0,0,0,0,0,0,0,0,0,0,0,0,"12,320"
Brong Ahafo Region,Jaman-North,,"12,320",0,0,"12,320",0,0,0,0,0,0,0,0,0,0,0,0,"12,320"
Brong Ahafo Region,Jaman-North,Legal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Jaman-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Jaman-North,Transport,"58,770",0,0,"58,770",0,0,0,0,0,0,0,0,0,0,0,0,"58,770"
Brong Ahafo Region,Jaman-North,,"58,770",0,0,"58,770",0,0,0,0,0,0,0,0,0,0,0,0,"58,770"
Brong Ahafo Region,Jaman-North,Disaster Prevention,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Jaman-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Jaman-North,Urban Roads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Jaman-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Jaman-North,Birth and Death,"6,830",0,0,"6,830",0,0,0,0,0,0,0,0,0,0,0,0,"6,830"
Brong Ahafo Region,Jaman-North,,"6,830",0,0,"6,830",0,0,0,0,0,0,0,0,0,0,0,0,"6,830"
Brong Ahafo Region,Jaman-South,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
Brong Ahafo Region,Kintampo-South,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
Brong Ahafo Region,Kintampo,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
Brong Ahafo Region,Nkoranza-North,Multi Sectoral,"1,470,058","1,441,269","2,584,335","5,495,661","7,168","209,800","1,200","218,168",0,0,0,0,0,"91,990","875,000","966,990","6,680,819"
Brong Ahafo Region,Nkoranza-North,Nkoranza North District - Busunya,"1,470,058","1,441,269","2,584,335","5,495,661","7,168","209,800","1,200","218,168",0,0,0,0,0,"91,990","875,000","966,990","6,680,819"
Brong Ahafo Region,Nkoranza-North,Central Administration,"895,306","1,386,716","1,914,173","4,196,194","7,168","209,800","1,200","218,168",0,0,0,0,0,"91,990","534,000","625,990","5,040,352"
Brong Ahafo Region,Nkoranza-North,Administration (Assembly Office),"895,306","1,386,716","1,914,173","4,196,194","7,168","209,800","1,200","218,168",0,0,0,0,0,"91,990","534,000","625,990","5,040,352"
Brong Ahafo Region,Nkoranza-North,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,"Education, Youth and Sports",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Health,0,0,"250,000","250,000",0,0,0,0,0,0,0,0,0,0,"176,000","176,000","426,000"
Brong Ahafo Region,Nkoranza-North,Office of District Medical Officer of Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Environmental Health Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Hospital services,0,0,"250,000","250,000",0,0,0,0,0,0,0,0,0,0,"176,000","176,000","426,000"
Brong Ahafo Region,Nkoranza-North,Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Agriculture,"263,445","40,071",0,"303,516",0,0,0,0,0,0,0,0,0,0,0,0,"303,516"
Brong Ahafo Region,Nkoranza-North,,"263,445","40,071",0,"303,516",0,0,0,0,0,0,0,0,0,0,0,0,"303,516"
Brong Ahafo Region,Nkoranza-North,Physical Planning,0,"2,904",162,"3,066",0,0,0,0,0,0,0,0,0,0,0,0,"3,066"
Brong Ahafo Region,Nkoranza-North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Town and Country Planning,0,"2,904",162,"3,066",0,0,0,0,0,0,0,0,0,0,0,0,"3,066"
Brong Ahafo Region,Nkoranza-North,Parks and Gardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Social Welfare & Community Development,"93,396","10,301",0,"103,697",0,0,0,0,0,0,0,0,0,0,0,0,"103,697"
Brong Ahafo Region,Nkoranza-North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Social Welfare,"18,250","4,214",0,"22,464",0,0,0,0,0,0,0,0,0,0,0,0,"22,464"
Brong Ahafo Region,Nkoranza-North,Community Development,"75,146","6,087",0,"81,233",0,0,0,0,0,0,0,0,0,0,0,0,"81,233"
Brong Ahafo Region,Nkoranza-North,Natural Resource Conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Works,"217,911","1,276","420,000","639,188",0,0,0,0,0,0,0,0,0,0,"165,000","165,000","804,188"
Brong Ahafo Region,Nkoranza-North,Office of Departmental Head,"217,911",0,0,"217,911",0,0,0,0,0,0,0,0,0,0,0,0,"217,911"
Brong Ahafo Region,Nkoranza-North,Public Works,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Feeder Roads,0,"1,276","420,000","421,276",0,0,0,0,0,0,0,0,0,0,"165,000","165,000","586,276"
Brong Ahafo Region,Nkoranza-North,Rural Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,"Trade, Industry and Tourism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Cottage Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Tourism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Budget and Rating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Legal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Disaster Prevention,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Urban Roads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,Birth and Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Multi Sectoral,"2,062,157","2,145,739","2,288,318","6,496,214","24,271","295,000","65,679","384,950",0,0,0,0,0,"336,438","5,973,415","6,309,853","13,191,017"
Brong Ahafo Region,Nkoranza-South,Nkoranza South District - Nkoranza,"2,062,157","2,145,739","2,288,318","6,496,214","24,271","295,000","65,679","384,950",0,0,0,0,0,"336,438","5,973,415","6,309,853","13,191,017"
Brong Ahafo Region,Nkoranza-South,Central Administration,"873,636","929,778","1,280,757","3,084,171","24,271","287,000","65,679","376,950",0,0,0,0,0,"52,110","230,822","282,932","3,744,053"
Brong Ahafo Region,Nkoranza-South,Administration (Assembly Office),"873,636","929,778","1,280,757","3,084,171","24,271","287,000","65,679","376,950",0,0,0,0,0,"52,110","230,822","282,932","3,744,053"
Brong Ahafo Region,Nkoranza-South,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Finance,"285,806",0,0,"285,806",0,0,0,0,0,0,0,0,0,0,0,0,"285,806"
Brong Ahafo Region,Nkoranza-South,,"285,806",0,0,"285,806",0,0,0,0,0,0,0,0,0,0,0,0,"285,806"
Brong Ahafo Region,Nkoranza-South,"Education, Youth and Sports",0,"690,673","424,481","1,115,154",0,0,0,0,0,0,0,0,0,0,"102,198","102,198","1,217,352"
Brong Ahafo Region,Nkoranza-South,Office of Departmental Head,0,0,"29,299","29,299",0,0,0,0,0,0,0,0,0,0,"62,304","62,304","91,602"
Brong Ahafo Region,Nkoranza-South,Education,0,"690,673","395,182","1,085,855",0,0,0,0,0,0,0,0,0,0,"39,895","39,895","1,125,750"
Brong Ahafo Region,Nkoranza-South,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Health,"230,314","291,774","542,080","1,064,169",0,"8,000",0,"8,000",0,0,0,0,0,"82,811","282,928","365,739","1,437,908"
Brong Ahafo Region,Nkoranza-South,Office of District Medical Officer of Health,0,"38,274","396,223","434,497",0,0,0,0,0,0,0,0,0,"82,811","216,100","298,911","733,408"
Brong Ahafo Region,Nkoranza-South,Environmental Health Unit,"230,314","253,500","145,858","629,672",0,"8,000",0,"8,000",0,0,0,0,0,0,"66,828","66,828","704,500"
Brong Ahafo Region,Nkoranza-South,Hospital services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Agriculture,"185,171","61,808",0,"246,979",0,0,0,0,0,0,0,0,0,"138,333",0,"138,333","385,312"
Brong Ahafo Region,Nkoranza-South,,"185,171","61,808",0,"246,979",0,0,0,0,0,0,0,0,0,"138,333",0,"138,333","385,312"
Brong Ahafo Region,Nkoranza-South,Physical Planning,"72,432","20,604",0,"93,036",0,0,0,0,0,0,0,0,0,0,0,0,"93,036"
Brong Ahafo Region,Nkoranza-South,Office of Departmental Head,"72,432",0,0,"72,432",0,0,0,0,0,0,0,0,0,0,0,0,"72,432"
Brong Ahafo Region,Nkoranza-South,Town and Country Planning,0,"20,604",0,"20,604",0,0,0,0,0,0,0,0,0,0,0,0,"20,604"
Brong Ahafo Region,Nkoranza-South,Parks and Gardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Social Welfare & Community Development,"44,832","71,112",0,"115,944",0,0,0,0,0,0,0,0,0,0,0,0,"115,944"
Brong Ahafo Region,Nkoranza-South,Office of Departmental Head,"44,832",0,0,"44,832",0,0,0,0,0,0,0,0,0,0,0,0,"44,832"
Brong Ahafo Region,Nkoranza-South,Social Welfare,0,"61,224",0,"61,224",0,0,0,0,0,0,0,0,0,0,0,0,"61,224"
Brong Ahafo Region,Nkoranza-South,Community Development,0,"9,888",0,"9,888",0,0,0,0,0,0,0,0,0,0,0,0,"9,888"
Brong Ahafo Region,Nkoranza-South,Natural Resource Conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Works,"200,062","4,990","41,000","246,051",0,0,0,0,0,0,0,0,0,"63,184","5,357,467","5,420,650","5,666,701"
Brong Ahafo Region,Nkoranza-South,Office of Departmental Head,"200,062",0,"7,000","207,062",0,0,0,0,0,0,0,0,0,"63,184","4,766,149","4,829,333","5,036,394"
Brong Ahafo Region,Nkoranza-South,Public Works,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Feeder Roads,0,"4,990","34,000","38,990",0,0,0,0,0,0,0,0,0,0,"591,318","591,318","630,307"
Brong Ahafo Region,Nkoranza-South,Rural Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,"Trade, Industry and Tourism","68,491","25,000",0,"93,491",0,0,0,0,0,0,0,0,0,0,0,0,"93,491"
Brong Ahafo Region,Nkoranza-South,Office of Departmental Head,"68,491","25,000",0,"93,491",0,0,0,0,0,0,0,0,0,0,0,0,"93,491"
Brong Ahafo Region,Nkoranza-South,Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Cottage Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Tourism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Budget and Rating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Legal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Disaster Prevention,"101,414","50,000",0,"151,414",0,0,0,0,0,0,0,0,0,0,0,0,"151,414"
Brong Ahafo Region,Nkoranza-South,,"101,414","50,000",0,"151,414",0,0,0,0,0,0,0,0,0,0,0,0,"151,414"
Brong Ahafo Region,Nkoranza-South,Urban Roads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,Birth and Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Nkoranza-South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Multi Sectoral,"1,011,032","1,561,546","1,312,111","3,884,689","68,963","259,172",0,"328,135",0,0,0,0,0,"430,840","1,451,385","1,882,224","6,164,059"
Brong Ahafo Region,Pru,Pru District - Yeji,"1,011,032","1,561,546","1,312,111","3,884,689","68,963","259,172",0,"328,135",0,0,0,0,0,"430,840","1,451,385","1,882,224","6,164,059"
Brong Ahafo Region,Pru,Central Administration,"735,586","695,181","1,311,949","2,742,715","68,963","259,172",0,"328,135",0,0,0,0,0,"269,628","402,857","672,485","3,812,347"
Brong Ahafo Region,Pru,Administration (Assembly Office),"735,586","695,181","1,311,949","2,742,715","68,963","259,172",0,"328,135",0,0,0,0,0,"269,628","402,857","672,485","3,812,347"
Brong Ahafo Region,Pru,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,"Education, Youth and Sports",0,"702,858",0,"702,858",0,0,0,0,0,0,0,0,0,0,"521,131","521,131","1,223,989"
Brong Ahafo Region,Pru,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Education,0,"702,858",0,"702,858",0,0,0,0,0,0,0,0,0,0,"521,131","521,131","1,223,989"
Brong Ahafo Region,Pru,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Health,0,"115,000",0,"115,000",0,0,0,0,0,0,0,0,0,"161,212","527,397","688,608","803,608"
Brong Ahafo Region,Pru,Office of District Medical Officer of Health,0,"50,000",0,"50,000",0,0,0,0,0,0,0,0,0,"161,212","351,065","512,277","562,277"
Brong Ahafo Region,Pru,Environmental Health Unit,0,"65,000",0,"65,000",0,0,0,0,0,0,0,0,0,0,"176,331","176,331","241,331"
Brong Ahafo Region,Pru,Hospital services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Agriculture,"207,215","25,555",0,"232,770",0,0,0,0,0,0,0,0,0,0,0,0,"232,770"
Brong Ahafo Region,Pru,,"207,215","25,555",0,"232,770",0,0,0,0,0,0,0,0,0,0,0,0,"232,770"
Brong Ahafo Region,Pru,Physical Planning,0,"5,960",162,"6,122",0,0,0,0,0,0,0,0,0,0,0,0,"6,122"
Brong Ahafo Region,Pru,Office of Departmental Head,0,"3,056",0,"3,056",0,0,0,0,0,0,0,0,0,0,0,0,"3,056"
Brong Ahafo Region,Pru,Town and Country Planning,0,"2,904",162,"3,066",0,0,0,0,0,0,0,0,0,0,0,0,"3,066"
Brong Ahafo Region,Pru,Parks and Gardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Social Welfare & Community Development,"68,231","14,970",0,"83,201",0,0,0,0,0,0,0,0,0,0,0,0,"83,201"
Brong Ahafo Region,Pru,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Social Welfare,"25,172","6,110",0,"31,282",0,0,0,0,0,0,0,0,0,0,0,0,"31,282"
Brong Ahafo Region,Pru,Community Development,"43,059","8,859",0,"51,919",0,0,0,0,0,0,0,0,0,0,0,0,"51,919"
Brong Ahafo Region,Pru,Natural Resource Conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Works,0,"2,023",0,"2,023",0,0,0,0,0,0,0,0,0,0,0,0,"2,023"
Brong Ahafo Region,Pru,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Public Works,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Feeder Roads,0,"2,023",0,"2,023",0,0,0,0,0,0,0,0,0,0,0,0,"2,023"
Brong Ahafo Region,Pru,Rural Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,"Trade, Industry and Tourism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Cottage Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Tourism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Budget and Rating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Legal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Disaster Prevention,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Urban Roads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,Birth and Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Pru,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Sene-East,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
Brong Ahafo Region,Sene-West,Multi Sectoral,"1,154,346","1,723,883","1,796,000","4,674,228","21,000","297,600","58,400","377,000",0,0,0,"50,000",0,"692,305","2,117,473","2,809,779","7,911,007"
Brong Ahafo Region,Sene-West,Sene West - Kwame Danso,"1,154,346","1,723,883","1,796,000","4,674,228","21,000","297,600","58,400","377,000",0,0,0,"50,000",0,"692,305","2,117,473","2,809,779","7,911,007"
Brong Ahafo Region,Sene-West,Central Administration,"782,447","602,109","750,000","2,134,556","21,000","297,600",0,"318,600",0,0,0,"50,000",0,"45,000","250,000","295,000","2,798,156"
Brong Ahafo Region,Sene-West,Administration (Assembly Office),"782,447","602,109","750,000","2,134,556","21,000","297,600",0,"318,600",0,0,0,"50,000",0,"45,000","250,000","295,000","2,798,156"
Brong Ahafo Region,Sene-West,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Sene-West,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Sene-West,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Sene-West,"Education, Youth and Sports",0,"564,280","431,000","995,280",0,0,"58,400","58,400",0,0,0,0,0,0,"510,000","510,000","1,563,680"
Brong Ahafo Region,Sene-West,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Sene-West,Education,0,"554,280","431,000","985,280",0,0,"58,400","58,400",0,0,0,0,0,0,"510,000","510,000","1,553,680"
Brong Ahafo Region,Sene-West,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Sene-West,Youth,0,"10,000",0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,"10,000"
Brong Ahafo Region,Sene-West,Health,"101,744","204,500","360,000","666,244",0,0,0,0,0,0,0,0,0,"307,360","479,455","786,816","1,453,060"
Brong Ahafo Region,Sene-West,Office of District Medical Officer of Health,0,"30,000","360,000","390,000",0,0,0,0,0,0,0,0,0,"182,121","150,000","332,121","722,121"
Brong Ahafo Region,Sene-West,Environmental Health Unit,"101,744","174,500",0,"276,244",0,0,0,0,0,0,0,0,0,"125,239","329,455","454,695","730,939"
Brong Ahafo Region,Sene-West,Hospital services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Sene-West,Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Sene-West,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brong Ahafo Region,Sene-West,Agriculture,"156,503","126,796","50,000","333,299",0,0,0,0,0,0,0,0,0,"40,500",0,"40,500","373,799"
Brong Ahafo Region,Sene-West,,"156,503","126,796","50,000","333,299",0,0,0,0,0,0,0,0,0,"40,500",0,"40,500","373,799"
Brong Ahafo Region,Sene-West,Physical Planning,0,"68,000",0,"68,000",0,0,0,0,0,0,0,0,0,0,0,0,"68,000"
