Region,District,Sector/MDA/MMDA,Central GOG and CF: Comp of Emp,Central GOG and CF: Goods/Service,Central GOG and CF: Assets (Capital),Central GOG and CF: Total,IGF: Comp of Emp,IGF: Goods/Service,IGF: Assets (Capital),IGF: Total,Funds/Others: Comp of Emp,Funds/Others: Goods/Service,Funds/Others: Assets (Capital),Funds/Others: Total,Donor: Comp of Emp,Donor: Goods/Service,Donor: Assets (Capital),Donor: Total,Grand Total Less NREG / Statutory
Ashanti Region,Adansi-North,Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,Disaster Prevention,0,"30,000",0,"30,000",0,0,0,0,0,0,0,0,0,0,0,0,"30,000"
Ashanti Region,Adansi-North,,0,"30,000",0,"30,000",0,0,0,0,0,0,0,0,0,0,0,0,"30,000"
Ashanti Region,Adansi-North,Urban Roads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,Birth and Death,0,"5,000",0,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,"5,000"
Ashanti Region,Adansi-North,,0,"5,000",0,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,"5,000"
Ashanti Region,Adansi-South,Multi Sectoral,"1,231,727","897,625","1,974,120","4,103,471","165,693","256,932","162,000","584,625",0,0,0,"120,000",0,"483,902","930,000","1,413,902","6,221,998"
Ashanti Region,Adansi-South,Adansi South District - New Edubiase,"1,231,727","897,625","1,974,120","4,103,471","165,693","256,932","162,000","584,625",0,0,0,"120,000",0,"483,902","930,000","1,413,902","6,221,998"
Ashanti Region,Adansi-South,Central Administration,"447,096","408,578","1,054,120","1,909,794","165,693","213,932","147,000","526,625",0,0,0,"120,000",0,"40,000","155,000","195,000","2,751,419"
Ashanti Region,Adansi-South,Administration (Assembly Office),"447,096","408,578","1,054,120","1,909,794","165,693","213,932","147,000","526,625",0,0,0,"120,000",0,"40,000","155,000","195,000","2,751,419"
Ashanti Region,Adansi-South,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-South,Finance,0,0,"20,000","20,000",0,"3,000",0,"3,000",0,0,0,0,0,0,0,0,"23,000"
Ashanti Region,Adansi-South,,0,0,"20,000","20,000",0,"3,000",0,"3,000",0,0,0,0,0,0,0,0,"23,000"
Ashanti Region,Adansi-South,"Education, Youth and Sports",0,"47,578","393,000","440,578",0,0,0,0,0,0,0,0,0,"443,902","675,000","1,118,902","1,559,480"
Ashanti Region,Adansi-South,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-South,Education,0,"47,578","393,000","440,578",0,0,0,0,0,0,0,0,0,"443,902","675,000","1,118,902","1,559,480"
Ashanti Region,Adansi-South,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-South,Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-South,Health,"125,395","273,791","400,000","799,186",0,"15,000",0,"15,000",0,0,0,0,0,0,"100,000","100,000","914,186"
Ashanti Region,Adansi-South,Office of District Medical Officer of Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-South,Environmental Health Unit,"125,395","252,000",0,"377,395",0,"15,000",0,"15,000",0,0,0,0,0,0,"100,000","100,000","492,395"
Ashanti Region,Adansi-South,Hospital services,0,"21,791","400,000","421,791",0,0,0,0,0,0,0,0,0,0,0,0,"421,791"
Ashanti Region,Adansi-South,Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-South,Agriculture,"462,801","42,283",0,"505,084",0,"10,000",0,"10,000",0,0,0,0,0,0,0,0,"515,084"
Ashanti Region,Adansi-South,,"462,801","42,283",0,"505,084",0,"10,000",0,"10,000",0,0,0,0,0,0,0,0,"515,084"
Ashanti Region,Adansi-South,Physical Planning,0,"22,904",0,"22,904",0,"5,000",0,"5,000",0,0,0,0,0,0,0,0,"27,904"
Ashanti Region,Adansi-South,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-South,Town and Country Planning,0,"22,904",0,"22,904",0,"5,000",0,"5,000",0,0,0,0,0,0,0,0,"27,904"
Ashanti Region,Adansi-South,Parks and Gardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-South,Social Welfare & Community Development,"146,917","67,174","2,000","216,091",0,"5,000","5,000","10,000",0,0,0,0,0,0,0,0,"226,091"
Ashanti Region,Adansi-South,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-South,Social Welfare,"146,917","63,087",0,"210,004",0,"5,000",0,"5,000",0,0,0,0,0,0,0,0,"215,004"
Ashanti Region,Adansi-South,Community Development,0,"4,088","2,000","6,088",0,0,"5,000","5,000",0,0,0,0,0,0,0,0,"11,088"
Ashanti Region,Adansi-South,Natural Resource Conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-South,Works,"49,517","15,316","105,000","169,832",0,0,"10,000","10,000",0,0,0,0,0,0,0,0,"179,832"
Ashanti Region,Adansi-South,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-South,Public Works,"49,517",0,"25,000","74,517",0,0,0,0,0,0,0,0,0,0,0,0,"74,517"
