id,year,value
PK,2001,54058194.41
PS,2001,0
PW,2001,1251648.188
PY,2001,12946681.1
RS,2001,0
RW,2001,0
SA,2001,95290600.43
SB,2001,1075371.317
SC,2001,11179900.57
SD,2001,0
SH,2001,0
SI,2001,0
SL,2001,0
SN,2001,-13424155.57
SO,2001,0
SR,2001,0
SS,2001,0
ST,2001,0
SV,2001,13552278.29
SY,2001,0
SZ,2001,-42156711.4
TC,2001,0
TD,2001,0
TG,2001,-15240916.75
TH,2001,849603845.2
TJ,2001,0
TK,2001,0
TL,2001,0
TM,2001,0
TN,2001,7613538.011
TO,2001,1068957.678
TR,2001,1160948719
TT,2001,105934518.4
TV,2001,0
TZ,2001,983114.0999
UA,2001,72631090.29
UG,2001,0
UY,2001,9483141.985
UZ,2001,0
VC,2001,0
VE,2001,341975733.3
VN,2001,0
VU,2001,0
WF,2001,0
WS,2001,0
XK,2001,0
YE,2001,1649851.491
YT,2001,0
ZA,2001,-7005183674
ZM,2001,0
ZW,2001,6844092.838
AF,2002,0
AG,2002,17497615.24
AI,2002,0
AL,2002,0
AM,2002,3294.637731
AO,2002,-116783197.7
AR,2002,-1968782806
AZ,2002,1067368307
BA,2002,0
BB,2002,526975.5247
BD,2002,6424060.856
BF,2002,3213364.203
BH,2002,362008423.1
BI,2002,0
BJ,2002,2510862.043
BO,2002,5564853.579
BR,2002,7745974181
BT,2002,0
BW,2002,75428817.03
BY,2002,-451173817.2
BZ,2002,0
CD,2002,29062413.22
CF,2002,2359.655118
CG,2002,12126842.72
CI,2002,-8447279.956
CK,2002,0
CL,2002,828178826
CM,2002,-57914155.91
CN,2002,5383528773
CO,2002,2037218485
CR,2002,56714259.18
CU,2002,0
CV,2002,0
DJ,2002,0
DM,2002,683064.558
DO,2002,20603996.96
DZ,2002,253299372.1
EC,2002,-6726419.813
EG,2002,53913147.13
ER,2002,0
ET,2002,0
FJ,2002,3094723.209
FM,2002,0
GA,2002,-81662869.28
GD,2002,3717365.63
GE,2002,10133614.4
GH,2002,-4450166.17
GM,2002,0
GN,2002,673498.9166
GQ,2002,0
GT,2002,38215127.9
GW,2002,1835731.877
GY,2002,250430.3998
HN,2002,10199501.69
HR,2002,1055105904
HT,2002,0
ID,2002,2002
IN,2002,2811329664
IQ,2002,0
IR,2002,132269759.3
JM,2002,106639060
JO,2002,25645436.68
KE,2002,18087413.93
KG,2002,0
KH,2002,9227348.931
KI,2002,223809.2951
KM,2002,0
KN,2002,1895903.818
KP,2002,0
KZ,2002,1756012922
LA,2002,514923.5569
LB,2002,280078.9908
LC,2002,7236755.98
LK,2002,21344786.29
LR,2002,839784076.9
LS,2002,114446.6163
LY,2002,-438545080
MA,2002,42835351.42
MD,2002,1290908.109
ME,2002,0
MG,2002,0
MH,2002,11.97054987
MK,2002,194164.1165
ML,2002,3298954.209
MM,2002,0
MN,2002,0
MR,2002,0
MS,2002,0
MT,2002,-44517611.85
MU,2002,13477994.18
MV,2002,0
MW,2002,321626.0793
MX,2002,1098909849
MY,2002,3513286836
MZ,2002,94449.87313
NA,2002,-12876712.28
NE,2002,-3292240.533
NG,2002,679482307.4
NI,2002,0
NP,2002,0
NR,2002,0
NU,2002,0
OM,2002,0
PA,2002,0
PE,2002,0
PG,2002,-2231189.603
PH,2002,120973303.2
PK,2002,50602653.32
PS,2002,0
PW,2002,0
PY,2002,14871001.96
RS,2002,0
RW,2002,0
SA,2002,4104438095
SB,2002,1885918.187
SC,2002,10312581.8
SD,2002,0
SH,2002,0
SI,2002,0
SL,2002,0
SN,2002,59562005.9
SO,2002,0
SR,2002,0
SS,2002,0
ST,2002,0
SV,2002,35478299.12
SY,2002,0
SZ,2002,-1524720.064
TC,2002,0
TD,2002,0
TG,2002,4436718.112
TH,2002,325249302.1
TJ,2002,0
TK,2002,0
TL,2002,0
TM,2002,0
TN,2002,8405022.009
TO,2002,1002760.778
TR,2002,299104371.9
TT,2002,205144402.6
TV,2002,0
TZ,2002,320069.5861
UA,2002,-14892676.79
UG,2002,0
UY,2002,30137001.91
UZ,2002,0
VC,2002,0
VE,2002,2074256007
VN,2002,0
VU,2002,1433426.981
WF,2002,0
WS,2002,0
XK,2002,0
YE,2002,103517451.2
YT,2002,0
ZA,2002,-968330582.1
ZM,2002,0
ZW,2002,5164731.203
AF,2003,0
AG,2003,16724392.66
AI,2003,0
AL,2003,0
AM,2003,745946.0674
AO,2003,-809.4398769
AR,2003,2021210871
AZ,2003,2894811276
BA,2003,0
BB,2003,586233.0484
BD,2003,9348258.337
BF,2003,2959102.833
BH,2003,1299514720
BI,2003,0
BJ,2003,480994.3748
BO,2003,5592106.968
BR,2003,720904560.2
BT,2003,0
BW,2003,274476663.5
BY,2003,2874744.705
BZ,2003,436913.0317
CD,2003,42341797.52
CF,2003,0
CG,2003,4351953.531
CI,2003,38333153.64
CK,2003,0
CL,2003,3928016071
CM,2003,12330018.85
CN,2003,5948420057
CO,2003,2398314645
CR,2003,45913864.19
CU,2003,0
CV,2003,0
DJ,2003,0
DM,2003,572938.0402
DO,2003,-69993116.35
DZ,2003,64494190.94
EC,2003,14426259.12
EG,2003,43905862.3
ER,2003,0
ET,2003,0
FJ,2003,5439042.737
FM,2003,0
GA,2003,-121792646.7
GD,2003,1733820.781
GE,2003,8804991.849
GH,2003,20867864.89
GM,2003,0
GN,2003,0
GQ,2003,0
GT,2003,76806213.32
GW,2003,829279.9896
GY,2003,0
HN,2003,19116432.21
HR,2003,179774467.3
HT,2003,0
ID,2003,2003
IN,2003,2871065307
IQ,2003,0
IR,2003,-743448097.9
JM,2003,179307235.8
JO,2003,-6661439.126
KE,2003,4607857.225
KG,2003,0
KH,2003,14762689.61
KI,2003,222340.0296
KM,2003,0
KN,2003,3122177.75
KP,2003,0
KZ,2003,-436400713.1
LA,2003,175759.2764
LB,2003,815634092.9
LC,2003,7227123.169
LK,2003,48855808.69
LR,2003,323501582.2
LS,2003,2116.496374
LY,2003,179483988.1
MA,2003,16018394.87
MD,2003,282275.342
ME,2003,0
MG,2003,-6112380.766
MH,2003,11.81219929
MK,2003,474660.0492
ML,2003,2428070.66
MM,2003,0
MN,2003,0
MR,2003,-2080672.977
MS,2003,0
MT,2003,780002684.6
MU,2003,-7599817.181
MV,2003,0
MW,2003,1409346.43
MX,2003,1630433259
MY,2003,2445355641
MZ,2003,277124.8837
NA,2003,-17648609.99
NE,2003,5532.92086
NG,2003,636667822.1
NI,2003,0
NP,2003,0
NR,2003,0
NU,2003,0
OM,2003,186567753.6
PA,2003,0
PE,2003,104994795.3
PG,2003,-7517789.037
PH,2003,573959042.8
PK,2003,31292533.49
PS,2003,0
PW,2003,0
PY,2003,14894259.34
RS,2003,0
RW,2003,0
SA,2003,910450536
SB,2003,49373.1489
SC,2003,8953007.805
SD,2003,0
SH,2003,0
SI,2003,0
SL,2003,0
SN,2003,3867340.68
SO,2003,0
SR,2003,0
SS,2003,0
ST,2003,0
SV,2003,-24975655.87
SY,2003,0
SZ,2003,29661581.57
TC,2003,0
TD,2003,0
TG,2003,-11009738.86
TH,2003,1116914321
TJ,2003,0
TK,2003,0
TL,2003,0
TM,2003,0
TN,2003,6413113.058
TO,2003,65832.05329
TR,2003,810443261.7
TT,2003,395936814.6
TV,2003,0
TZ,2003,2997478.433
UA,2003,35853428.25
UG,2003,0
UY,2003,38224829.47
UZ,2003,0
VC,2003,78781.12293
VE,2003,2733410900
VN,2003,0
VU,2003,1483440.863
WF,2003,0
WS,2003,-11085687.58
XK,2003,0
YE,2003,152189427.4
YT,2003,0
ZA,2003,937070888.9
ZM,2003,0
ZW,2003,305661.8567
AF,2004,0
AG,2004,18334199.48
AI,2004,0
AL,2004,15921513.54
AM,2004,-721524.6647
AO,2004,-900986.3049
AR,2004,1615583283
AZ,2004,3451425181
BA,2004,2109869.272
BB,2004,4303912.23
BD,2004,8402969.482
BF,2004,-12540846.8
BH,2004,1635570935
BI,2004,0
BJ,2004,-1812995.608
BO,2004,6009838.096
BR,2004,24949959161
BT,2004,0
BW,2004,-44508573.71
BY,2004,2138520.089
BZ,2004,76484.31921
CD,2004,12635175.22
CF,2004,0
CG,2004,8945618.995
CI,2004,-38083650.73
CK,2004,0
CL,2004,4035206732
CM,2004,12415916.02
CN,2004,10713998316
CO,2004,310214080.4
CR,2004,101391227.5
CU,2004,0
CV,2004,0
DJ,2004,0
DM,2004,1495850.334
DO,2004,-16620609.78
DZ,2004,483415281.2
EC,2004,15578567.73
EG,2004,360599863
ER,2004,0
ET,2004,0
FJ,2004,4069712.301
FM,2004,0
GA,2004,-45762086.92
GD,2004,1662548.151
GE,2004,18457057.1
GH,2004,-1537477.649
GM,2004,0
GN,2004,0
GQ,2004,0
GT,2004,65324863.7
GW,2004,-11043844.79
GY,2004,285312.65
HN,2004,-9608203.994
HR,2004,453655640.7
HT,2004,0
ID,2004,2004
IN,2004,3079396065
IQ,2004,0
IR,2004,127046814.4
JM,2004,86884903.99
JO,2004,32059473.18
KE,2004,9529616.731
KG,2004,101332464
KH,2004,15084245.5
KI,2004,229522.8951
KM,2004,0
KN,2004,9235463.038
KP,2004,0
KZ,2004,-3602394314
LA,2004,12991.84598
LB,2004,1093097529
LC,2004,5968676.747
LK,2004,10344492.95
LR,2004,515728739.7
LS,2004,1218515.541
LY,2004,675481162.8
MA,2004,35638039.23
MD,2004,-3361245.291
ME,2004,0
MG,2004,0
MH,2004,13778423.19
MK,2004,1604716.717
ML,2004,1156622.387
MM,2004,0
MN,2004,0
MR,2004,7524104.01
MS,2004,0
MT,2004,8982038.131
MU,2004,40482538.6
MV,2004,0
MW,2004,1900475.127
MX,2004,5569279064
MY,2004,3472033513
MZ,2004,73938.46395
NA,2004,-31435534.54
NE,2004,10287296.24
NG,2004,845044911.1
NI,2004,0
NP,2004,0
NR,2004,0
NU,2004,0
OM,2004,80394215
PA,2004,0
PE,2004,0
PG,2004,137736.2984
PH,2004,1074652636
PK,2004,84224094.9
PS,2004,0
PW,2004,0
PY,2004,13918087.01
RS,2004,0
RW,2004,0
SA,2004,136554933.1
SB,2004,24204.73674
SC,2004,6827584.534
SD,2004,0
SH,2004,0
SI,2004,0
SL,2004,0
SN,2004,17192910.34
SO,2004,0
SR,2004,0
SS,2004,0
ST,2004,0
SV,2004,3517068.529
SY,2004,0
SZ,2004,-2053796.091
TC,2004,0
TD,2004,0
TG,2004,-19290690.61
TH,2004,122462188.5
TJ,2004,0
TK,2004,0
TL,2004,0
TM,2004,0
TN,2004,4420691.297
TO,2004,4457518.81
TR,2004,1113066615
TT,2004,41038015.72
TV,2004,0
TZ,2004,0
UA,2004,9554594.182
UG,2004,0
UY,2004,41377210.1
UZ,2004,0
VC,2004,457881.2586
VE,2004,1127953349
VN,2004,0
VU,2004,1506279.763
WF,2004,0
WS,2004,-1397530.615
XK,2004,0
YE,2004,47010095.99
YT,2004,0
ZA,2004,1794427744
ZM,2004,0
ZW,2004,1439.725731
AF,2005,0
AG,2005,19699472.67
AI,2005,0
AL,2005,4528960.203
AM,2005,7340896.417
AO,2005,-423649.5099
AR,2005,2863873324
AZ,2005,2897510618
BA,2005,594626.2054
BB,2005,9465373.347
BD,2005,5001665.566
BF,2005,-263117.6656
BH,2005,1576530972
BI,2005,0
BJ,2005,-509026.8643
BO,2005,6170318.053
BR,2005,4970137225
BT,2005,0
BW,2005,60096038.13
BY,2005,3446682.624
BZ,2005,1146507.357
CD,2005,20622125.34
CF,2005,0
CG,2005,0
CI,2005,0
CK,2005,0
CL,2005,3445137600
CM,2005,-17306114.81
CN,2005,22762779489
CO,2005,8491810448
CR,2005,-70916891.34
CU,2005,0
CV,2005,0
DJ,2005,0
DM,2005,15269649.57
DO,2005,24517785.89
DZ,2005,-33795772.58
EC,2005,33965820.95
EG,2005,191997193.4
ER,2005,0
ET,2005,0
FJ,2005,12605483.93
FM,2005,0
GA,2005,235999319.8
GD,2005,3817200.689
GE,2005,-151200140.5
GH,2005,0
GM,2005,0
GN,2005,0
GQ,2005,0
GT,2005,55226194.98
GW,2005,973438.5775
GY,2005,0
HN,2005,1485700.976
HR,2005,298610330.8
HT,2005,0
ID,2005,2005
IN,2005,3995022799
IQ,2005,236843579.6
IR,2005,739166011.4
JM,2005,133698467.6
JO,2005,281840112
KE,2005,18997211.98
KG,2005,0
KH,2005,8871322.153
KI,2005,228943.0707
KM,2005,0
KN,2005,15096380.61
KP,2005,0
KZ,2005,996632878.3
LA,2005,-12063865.75
LB,2005,956181591.7
LC,2005,4616350.696
LK,2005,58920738.18
LR,2005,677885403
LS,2005,-1094594.758
LY,2005,235748930.1
MA,2005,90140700.38
MD,2005,-314075.3742
ME,2005,0
MG,2005,0
MH,2005,57262666.14
MK,2005,3757147.236
ML,2005,-1337655.587
MM,2005,0
MN,2005,5202808.533
MR,2005,3229621.469
MS,2005,0
MT,2005,26025576.22
MU,2005,62486692.62
MV,2005,0
MW,2005,3061508.524
MX,2005,7454647021
MY,2005,4726208949
MZ,2005,-295355.7053
NA,2005,-16730996.81
NE,2005,-5990043.675
NG,2005,39025641.27
NI,2005,0
NP,2005,0
NR,2005,0
NU,2005,0
OM,2005,371861509.2
PA,2005,236365266.7
PE,2005,0
PG,2005,12764980.51
PH,2005,1369000329
PK,2005,65723652.84
PS,2005,0
PW,2005,-2544455.486
PY,2005,13884036.4
RS,2005,0
RW,2005,0
SA,2005,-513079621.1
SB,2005,2599820.392
SC,2005,29866496.33
SD,2005,0
SH,2005,0
SI,2005,761220466.5
SL,2005,-11023169.67
SN,2005,-9896675.009
SO,2005,0
SR,2005,0
SS,2005,0
ST,2005,21074676.1
SV,2005,-140758309
SY,2005,0
SZ,2005,-30219557.52
TC,2005,0
TD,2005,0
TG,2005,-21147838.02
TH,2005,865457634.7
TJ,2005,0
TK,2005,0
TL,2005,0
TM,2005,0
TN,2005,13646735.76
TO,2005,8001287.275
TR,2005,1337331332
TT,2005,486222760.1
TV,2005,0
TZ,2005,0
UA,2005,509407053
UG,2005,0
UY,2005,71262537.5
UZ,2005,0
VC,2005,771241.3924
VE,2005,1812922556
VN,2005,115492823.4
VU,2005,1555399.953
WF,2005,0
WS,2005,0
XK,2005,0
YE,2005,124554036.1
YT,2005,0
ZA,2005,1156605124
ZM,2005,0
ZW,2005,1533932.744
AF,2006,0
AG,2006,2617449.153
AI,2006,0
AL,2006,11027574.62
AM,2006,28580005.45
AO,2006,-325767301.8
AR,2006,4931106834
AZ,2006,1418662152
BA,2006,5086868.674
BB,2006,44060675.63
BD,2006,5448959.706
BF,2006,1354575.543
BH,2006,1250289947
BI,2006,0
BJ,2006,-2199633.853
BO,2006,5373434.765
BR,2006,46884608948
BT,2006,0
BW,2006,56976268.07
BY,2006,3717982.265
BZ,2006,640107.5114
CD,2006,24787263.56
CF,2006,0
CG,2006,0
CI,2006,0
CK,2006,0
CL,2006,3003922642
CM,2006,-6407890.152
CN,2006,36823391207
CO,2006,1924198761
CR,2006,156099705.9
CU,2006,0
CV,2006,0
DJ,2006,0
DM,2006,3439085.297
DO,2006,-75611801.01
DZ,2006,51006762.31
EC,2006,84643833.91
EG,2006,275869150.7
ER,2006,0
ET,2006,0
FJ,2006,694275.8966
FM,2006,0
GA,2006,141660572.4
GD,2006,6807154.399
GE,2006,-24221848.56
GH,2006,0
GM,2006,0
GN,2006,0
GQ,2006,0
GT,2006,54708716.05
GW,2006,587895.5571
GY,2006,0
HN,2006,847446.4872
HR,2006,298774722.4
HT,2006,0
ID,2006,2006
IN,2006,18357788218
IQ,2006,689467305.6
IR,2006,562047254.1
JM,2006,109333513.2
JO,2006,-215527399.6
KE,2006,41582945.25
KG,2006,0
KH,2006,11349206.71
KI,2006,217629.7926
KM,2006,0
KN,2006,4928421.959
KP,2006,0
KZ,2006,1679637158
LA,2006,56415953.14
LB,2006,1159732112
LC,2006,4360385.054
LK,2006,41811145.11
LR,2006,518903697.7
LS,2006,3798585.153
LY,2006,800528787.1
MA,2006,512159018
MD,2006,-1677169.58
ME,2006,0
MG,2006,0
MH,2006,15593731.75
MK,2006,215710.1296
ML,2006,1677763.763
MM,2006,0
MN,2006,98559619.06
MR,2006,6213510.688
MS,2006,0
MT,2006,36176973.71
MU,2006,13449290.77
MV,2006,0
MW,2006,5405430.786
MX,2006,6238893975
MY,2006,8616367436
MZ,2006,527592.7427
NA,2006,-15014954.9
NE,2006,-1297933.669
NG,2006,706633272.7
NI,2006,26884615.72
NP,2006,0
NR,2006,0
NU,2006,0
OM,2006,388658527.4
PA,2006,469928779
PE,2006,0
PG,2006,1749618.492
PH,2006,1634742545
PK,2006,145549129.7
PS,2006,0
PW,2006,0
PY,2006,12692873.25
RS,2006,0
RW,2006,0
SA,2006,-52042550.64
SB,2006,7425590.172
SC,2006,7084547.161
SD,2006,0
SH,2006,0
SI,2006,992721926.5
SL,2006,0
SN,2006,12095713.58
SO,2006,0
SR,2006,0
SS,2006,0
ST,2006,4592459.108
SV,2006,31515638.02
SY,2006,0
SZ,2006,-769551.7902
TC,2006,0
TD,2006,0
TG,2006,-20469644.88
TH,2006,1415589931
TJ,2006,0
TK,2006,0
TL,2006,0
TM,2006,0
TN,2006,36283124.68
TO,2006,2109916.405
TR,2006,1132257937
TT,2006,519643332.9
TV,2006,0
TZ,2006,0
UA,2006,-211631553.3
UG,2006,0
UY,2006,-1869515.103
UZ,2006,0
VC,2006,831026.206
VE,2006,2062995071
VN,2006,140286859.7
VU,2006,1552307.228
WF,2006,0
WS,2006,0
XK,2006,0
YE,2006,96912477.32
YT,2006,0
ZA,2006,7527242381
ZM,2006,0
ZW,2006,14540.90086
AF,2007,0
AG,2007,2553327.854
AI,2007,0
AL,2007,22592387.02
AM,2007,14168866.69
AO,2007,-1320839421
AR,2007,2700359591
AZ,2007,456084839.1
BA,2007,29914626.57
BB,2007,79224286.15
BD,2007,29785752.3
BF,2007,271877.0811
BH,2007,1963758033
BI,2007,52302.3008
BJ,2007,-6926266.158
BO,2007,6530183.045
BR,2007,9932618896
BT,2007,0
BW,2007,58521804.61
BY,2007,16714702.68
BZ,2007,1053662.114
CD,2007,17903220.83
CF,2007,0
CG,2007,0
CI,2007,0
CK,2007,0
CL,2007,6196395955
CM,2007,-8408690.447
CN,2007,40890630990
CO,2007,1340041271
CR,2007,385742446.2
CU,2007,0
CV,2007,378187.2579
DJ,2007,0
DM,2007,8348729.686
