iso2
AF
AL
DZ
AO
AI
AG
AR
AM
AZ
BD
BY
BZ
BJ
BT
BO
BA
BW
BR
BG
BF
BI
KH
CM
CV
CF
TD
CL
CN
CO
KM
CD
CG
CK
CR
CI
HR
CU
CZ
DJ
DM
DO
DC
EG
SV
GQ
ER
EE
ET
FJ
GA
GM
GE
GH
GD
GT
GN
GW
GY
HT
HN
HU
IN
ID
IR
IQ
JM
JO
KZ
KE
KI
DP
XK
KG
LA
LV
LB
LS
LR
LY
LT
MK
MG
MW
MY
MV
ML
MH
MR
MU
MX
FM
MD
MN
ME
MS
MA
MZ
MM
NA
NR
NP
NI
NE
NG
NU
PK
PW
PA
PG
PY
PE
PH
PL
RO
RU
RW
WS
ST
SN
RS
SC
SL
SK
SI
SB
SO
ZA
SS
LK
SH
KN
LC
VC
SD
SR
SZ
SY
TJ
TZ
TH
TL
TG
TK
TO
TT
TN
TR
TM
TV
UG
UA
UY
UZ
VU
VE
VN
WF
PS
YE
ZM
ZW
