Id ,year,budget-type,l1,l2,l3,l4,value
SN,2015,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,recurrent,,16294029440
SN,2015,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,recurrent,wage,7048179440
SN,2015,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,recurrent,non-wage,9245850000
SN,2015,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,,14079000000
SN,2015,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,external-funded-grants,3500000000
SN,2015,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,external-funded-loans,1000000000
SN,2015,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,government-funded,9579000000
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,,,130197000000
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,recurrent,,96345482440
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,recurrent,wage,490052440
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,recurrent,non-wage,95855430000
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,,33852000000
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,external-funded-grants,0
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,external-funded-loans,13282000000
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,government-funded,20570000000
SN,2013,budget,health,,,,123692000000
SN,2014,budget,health,,,,127095000000
SN,2015,budget,health,,,,134567000000
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,,,123692000000
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,,73180173500
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,wage,35388243500
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,non-wage,37791930000
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,,50512000000
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,external-funded-grants,14721000000
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,external-funded-loans,5241000000
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,government-funded,30550000000
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,,,127095000000
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,,74960805760
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,wage,35879390760
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,non-wage,39081415000
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,,52134659000
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,external-funded-grants,12448659000
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,external-funded-loans,6686000000
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,government-funded,33000000000
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,,,134567000000
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,,77622702980
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,wage,35983860980
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,non-wage,41638842000
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,,56944000000
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,external-funded-grants,24040000000
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,external-funded-loans,5129000000
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,government-funded,27775000000
SN,2013,budget,water-and-sanitation,,,,55871053040
SN,2014,budget,water-and-sanitation,,,,35394273620
SN,2015,budget,water-and-sanitation,,,,50137271300
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,,,55871053040
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,,1267503040
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,wage,769073040
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,non-wage,498430000
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,,54603550000
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-grants,11228550000
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-loans,18375000000
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,government-funded,25000000000
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,,,35394273620
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,,1411493620
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,wage,762363620
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,non-wage,649130000
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,,33982780000
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-grants,9427780000
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-loans,5868000000
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,government-funded,18687000000
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,,,50137271300
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,,1824271300
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,wage,881468300
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,non-wage,942803000
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,,48313000000
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-grants,2700000000
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-loans,18000000000
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,government-funded,27613000000
SN,2013,budget,agriculture,,,,169997000000
SN,2014,budget,agriculture,,,,161031000000
SN,2015,budget,agriculture,,,,194911000000
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,,,132580000000
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,,9517349000
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,wage,1818922620
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,non-wage,7698426380
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,,123063000000
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,external-funded-grants,30748000000
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,external-funded-loans,24330000000
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,government-funded,67985000000
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,,,13370229620
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,recurrent,,2603229620
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,recurrent,wage,1818922620
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,recurrent,non-wage,784307000
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,,10767000000
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,external-funded-grants,919000000
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,external-funded-loans,3998000000
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,government-funded,5850000000
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,,,24046638280
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,recurrent,,2050638280
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,recurrent,wage,1341541280
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,recurrent,non-wage,709097000
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,,21996000000
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,external-funded-grants,1450000
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,external-funded-loans,14520000
