"item","value. ARUA ","value. GULU ","value. JINJA ","value. KABALE ","value. KABAROLE ","value. LIRA ","value. MASAKA ","value. MBALE ","value. SOROTI ","value. ADJUMANI ","value. BUGIRI ","value. BUNDIBUGYO ","value. BUSHENYI ","value. BUSIA ","value. HOIMA ","value. IGANGA ","value. KABERAMAIDO ","value. KALANGALA ","value. KAMULI ","value. KAPCHORWA ","value. KASESE ","value. KIBOGA ","value. KISORO ","value. KITGUM ","value. KOTIDO ","value. KUMI ","value. LUWERO ","value. MASINDI ","value. MBARARA ","value. MOROTO ","value. MOYO ","value. MUBENDE ","value. MUKONO ","value. PALLISA ","value. RAKAI ","value. TORORO ","value.ARUA M.C.","value.MOROTO M.C.","value.SOROTI M.C.","value. APAC ","value. KAMPALA ","value. KAMWENGE ","value. KANUNGU ","value. KATAKWI ","value. KAYUNGA ","value. KIBALE ","value. KYENJOJO ","value. MAYUGE ","value. MPIGI ","value. NAKAPIRIPIRIT ","value. NAKASONGOLA ","value. NEBBI ","value. NTUNGAMO ","value. PADER ","value. RUKUNGIRI ","value. SEMBABULE ","value. SIRONKO ","value. WAKISO ","value. YUMBE ","value.ENTEBBE M.C.","value.FORT PORTAL M.C.","value.GULU M.C.","value.JINJA M.C.","value.KABALE M.C.","value.LIRA M.C.","value.MASAKA M.C.","value.MBALE M.C.","value.MBARARA M.C.","value.TORORO M.C."
"6063-Roads W/shops",," 509,250 "," 1,164,000 ",,,,,,,,,,,,,,,,,,,,,,,,,," 1,236,036 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6064-Start up Costs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6065-PMA-Non Sectoral"," 307,242 ",," 132,474 "," 247,773 "," 146,363 ",," 355,752 "," 186,200 ",,," 159,534 ",," 335,580 ",,,,,,,,,,," 158,944 "," 195,552 ",,,,,,," 272,632 "," 363,844 ",,," 215,036 ",,,," 267,734 ",," 117,938 ",,," 130,621 ",," 155,636 ",," 199,572 ",,," 190,294 "," 172,798 "," 151,361 ",,," 121,605 "," 283,973 "," 55,546 ",,,,,,,,,,
"6067-Trans DTB, DSC, PAC"," 146,059 "," 128,250 "," 116,377 "," 140,122 "," 116,377 "," 134,186 "," 140,122 "," 128,250 "," 116,377 "," 112,831 "," 122,313 "," 116,377 "," 145,888 "," 116,377 "," 116,377 "," 134,186 "," 128,250 "," 104,504 "," 128,250 "," 116,377 "," 134,186 "," 116,377 "," 116,377 "," 122,313 "," 116,371 "," 122,313 "," 134,186 "," 128,250 "," 157,932 "," 104,504 "," 110,440 "," 126,216 "," 115,964 "," 128,250 "," 134,186 "," 128,250 "," 12,307 "," 12,307 "," 12,307 "," 140,122 "," 116,377 "," 128,250 "," 132,216 "," 122,313 "," 128,250 "," 128,250 "," 132,216 "," 128,250 "," 116,558 "," 122,313 "," 110,440 "," 122,313 "," 122,313 "," 128,250 "," 122,313 "," 116,377 "," 128,250 "," 144,456 "," 124,526 "," 12,307 "," 12,307 "," 12,307 "," 12,688 "," 12,307 "," 12,307 "," 12,307 "," 12,307 "," 12,307 "," 12,307 "
"6068-Comm Devt Workers"," 27,201 ",," 5,601 "," 13,601 "," 8,801 ",," 15,201 "," 24,801 ",,," 18,000 ",," 22,401 ",,,,,,,,,,," 9,601 "," 24,000 ",,,,,,," 14,401 "," 21,601 ",,," 15,201 ",,,," 17,601 ",," 10,800 ",,," 10,800 ",," 15,600 ",," 13,601 ",,," 12,801 "," 16,800 "," 15,600 ",,," 21,600 "," 16,800 "," 9,600 ",,,,,,,,,,
"6071-NGO Doctors"," 7,078 "," 66,197 ",,," 14,780 "," 7,078 "," 36,638 ",,,,,," 21,235 ",,,," 7,078 ",," 14,157 ",," 70,785 ",," 7,078 ",,," 35,392 "," 7,078 ",," 49,570 ",,,," 19,466 ",,,,,,," 7,078 "," 398,074 ",,,,,,," 7,078 "," 21,235 ",,," 14,157 ",," 7,078 "," 35,392 ",,,,,,,,,,,,,,
"6072-Agric Devt Centre",," 11,111 ",,," 11,111 ",," 11,111 ",,,,,," 11,111 ",,,,,,," 11,111 ",,,,," 9,538 ",,,,,," 11,111 "," 11,111 ",,,," 11,111 ",,,,,,,,,,,,," 11,111 ",,,,,,,,,,,,,,,,,,,,
"6073 - Functional Adult Lit",," 35,778 "," 26,151 "," 18,500 "," 18,500 "," 37,230 "," 12,838 "," 24,768 "," 18,500 "," 35,899 "," 26,763 "," 26,284 "," 26,926 "," 26,401 "," 18,417 "," 26,687 "," 26,517 "," 3,000 "," 26,763 "," 26,297 "," 27,710 "," 18,500 "," 18,500 "," 37,256 "," 28,612 "," 26,413 "," 12,850 "," 18,033 "," 27,710 "," 36,160 "," 35,766 "," 12,850 "," 17,823 "," 36,366 "," 12,850 "," 36,457 ",,,," 36,350 "," 12,828 "," 18,500 "," 18,500 "," 27,710 "," 12,802 "," 26,660 "," 18,500 "," 27,074 "," 18,500 "," 35,816 "," 12,850 "," 36,417 "," 18,500 "," 36,048 "," 18,500 "," 17,825 "," 18,500 "," 17,589 "," 35,289 ",,,,,,,,,,
"6073 - Funct'nal Adult Lit"," 36,363 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R/Water"," 764,563 "," 515,042 "," 332,928 "," 578,547 "," 458,038 "," 766,964 "," 856,370 "," 300,024 "," 525,044 "," 354,828 "," 195,015 "," 451,938 "," 873,072 "," 195,015 "," 482,739 "," 195,015 "," 240,020 "," 175,715 "," 581,048 "," 195,015 "," 340,527 "," 310,825 "," 535,044 "," 338,928 "," 378,731 "," 561,746 "," 654,654 "," 535,044 "," 1,078,089 "," 275,723 "," 282,223 "," 613,850 "," 681,756 "," 195,015 "," 717,860 "," 195,015 ",,,," 838,170 ",," 273,023 "," 380,031 "," 535,044 "," 255,021 "," 361,830 "," 530,043 "," 195,015 "," 483,740 "," 245,019 "," 465,539 "," 497,940 "," 559,045 "," 345,028 "," 384,231 "," 410,233 "," 195,015 "," 590,049 "," 215,017 ",,,,,,,,,,
"PHCdevt"," 194,853 "," 138,354 "," 57,432 "," 470,732 "," 50,000 "," 142,794 "," 284,955 "," 215,580 "," 162,153 "," 61,041 "," 133,122 "," 127,113 "," 275,745 "," 93,073 "," 67,666 "," 205,595 "," 93,603 "," 50,000 "," 16,074 "," 70,204 "," 80,617 "," 64,705 "," 63,985 "," 235,585 "," 74,059 "," 59,434 "," 112,897 "," 74,305 "," 444,231 "," 58,814 "," 69,968 "," 222,285 "," 112,350 "," 97,844 "," 128,879 "," 122,041 ",,,," 88,347 "," 58,326 "," 70,000 "," 59,024 "," 217,999 "," 74,109 "," 194,810 "," 85,999 "," 76,899 "," 80,879 "," 122,988 "," 95,797 "," 104,472 "," 93,781 "," 62,244 "," 459,758 "," 50,000 "," 234,153 "," 352,194 "," 61,144 ",,,,,,,,,,
"LGDP"," 1,049,142 "," 830,911 "," 423,743 "," 1,102,940 "," 661,805 ",," 1,512,926 "," 906,685 ",," 193,794 "," 457,608 "," 252,568 "," 1,323,440 "," 266,543 ",," 992,710 ",," 153,044 "," 903,540 "," 209,766 ",," 274,453 "," 466,024 "," 543,386 "," 501,333 ",," 1,070,324 "," 614,921 "," 1,413,382 "," 520,962 "," 200,036 "," 885,772 "," 1,308,827 "," 634,670 ",," 726,821 "," 306,666 "," 90,995 "," 354,481 "," 803,401 "," 1,944,350 "," 402,314 "," 328,603 "," 257,064 "," 474,111 ",," 553,773 "," 467,867 "," 822,433 "," 461,088 "," 229,317 "," 530,291 "," 507,029 "," 1,367,275 "," 459,489 "," 308,109 "," 317,432 "," 1,223,561 "," 257,404 "," 407,191 "," 444,242 "," 385,944 "," 943,494 "," 253,041 "," 306,674 "," 723,314 "," 600,567 "," 496,343 "," 444,240 "
"Dutch"," 1,384,865 ",,,,," 1,689,367 ",,," 961,788 "," 338,982 ",,,,,,," 569,736 ",,,,,,,,,,,,,," 303,902 ",,,,,,,,,,,,," 740,809 ",,,,,,,," 1,052,355 ",,,,,,," 292,888 ",,,,,,,,,,
"NAADs"," 425,000 ",,," 425,000 "," 331,000 "," 331,000 ",,," 425,000 ",,,," 331,000 "," 231,000 ",," 331,000 ","0",,," 195,478 ",,,," 330,999 ",,," 331,000 ",," 231,000 ",,,," 425,000 ",,," 425,000 ",,,,,,"0","0",,"0"," 425,000 ","0",,,"0",,,,"0",,,," 331,000 ",,,,,,,,,,,
"SFG"," 784,707 "," 784,707 "," 784,706 "," 784,707 "," 1,098,590 "," 784,707 "," 1,098,589 "," 1,255,531 "," 784,707 "," 784,707 "," 1,082,111 "," 772,936 "," 784,707 "," 784,707 "," 772,936 "," 1,255,531 "," 618,349 "," 627,765 "," 784,706 "," 784,707 "," 784,707 "," 784,707 "," 784,707 "," 772,936 "," 772,936 "," 784,706 "," 784,707 "," 784,707 "," 1,255,531 "," 784,707 "," 784,707 "," 772,936 "," 941,648 "," 941,648 "," 774,569 "," 784,707 "," 390,456 "," 312,366 "," 624,733 "," 941,648 "," 784,706 "," 941,648 "," 941,648 "," 784,707 "," 941,648 "," 784,707 "," 1,098,590 "," 1,098,590 "," 941,648 "," 784,707 "," 784,707 "," 784,707 "," 772,936 "," 784,707 "," 627,765 "," 784,707 "," 1,082,111 "," 941,648 "," 1,255,531 "," 390,456 "," 390,456 "," 468,549 "," 390,457 "," 390,457 "," 461,521 "," 390,456 "," 390,457 "," 390,456 "," 390,456 "
