DZA
AGO
BEN
BWA
BFA
BDI
CMR
CPV
CAF
TCD
COM
COD
COG
CIV
DJI
EGY
GNQ
ERI
ETH
GAB
GMB
GHA
GIN
GNB
KEN
LSO
LBR
LBY
MDG
MWI
MLI
MRT
MUS
MAR
MOZ
NAM
NER
NGA
RWA
STP
SEN
SYC
SLE
SOM
ZAF
SSD
SDN
SWZ
TZA
TGO
TUN
UGA
ZMB
ZWE
