Revenue/Expenditure,Budget Type,District,Government,Value,Workplan,Year,Vote,Revenue Source
Revenue,Recurrent Revenues,Bugiri District,District Government,0,Workplan 1a: Administration,2012/13 Approved Budget,Vote: 504,Conditional Grant to IFMS Running Costs
Revenue,Recurrent Revenues,Bugiri District,District Government,"30,000",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 504,Conditional Grant to IFMS Running Costs
Revenue,Recurrent Revenues,Bugiri District,District Government,"3,558",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 504,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Bugiri District,District Government,"4,517",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 504,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Bugiri District,District Government,"59,893",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 504,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bugiri District,District Government,"100,785",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 504,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bugiri District,District Government,"17,752",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 504,Locally Raised Revenues
Revenue,Recurrent Revenues,Bugiri District,District Government,"20,059",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 504,Locally Raised Revenues
Revenue,Recurrent Revenues,Bugiri District,District Government,"171,115",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 504,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bugiri District,District Government,"276,502",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 504,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bugiri District,District Government,0,Workplan 1a: Administration,2012/13 Approved Budget,Vote: 504,Other Transfers from Central Government
Revenue,Recurrent Revenues,Bugiri District,District Government,"4,500",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 504,Other Transfers from Central Government
Revenue,Recurrent Revenues,Bugiri District,District Government,"30,360",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 504,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bugiri District,District Government,"57,723",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 504,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bugiri District,District Government,0,Workplan 1a: Administration,2012/13 Approved Budget,Vote: 504,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bugiri District,District Government,"125,194",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 504,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bugiri District,District Government,0,Workplan 1a: Administration,2012/13 Approved Budget,Vote: 504,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bugiri District,District Government,"50,800",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 504,Urban Unconditional Grant - Non Wage
Revenue,Development Revenues,Bugiri District,District Government,"25,629",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 504,LGMSD (Former LGDP)
Revenue,Development Revenues,Bugiri District,District Government,"48,649",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 504,LGMSD (Former LGDP)
Revenue,Development Revenues,Bugiri District,District Government,0,Workplan 1a: Administration,2012/13 Approved Budget,Vote: 504,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Bugiri District,District Government,"36,488",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 504,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Expenditure,Bugiri District,District Government,"30,360",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 504,Wage
Revenue,Recurrent Expenditure,Bugiri District,District Government,"178,102",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 504,Wage
Revenue,Recurrent Expenditure,Bugiri District,District Government,"238,011",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 504,Non Wage
Revenue,Recurrent Expenditure,Bugiri District,District Government,"491,978",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 504,Non Wage
Revenue,Development Expenditure,Bugiri District,District Government,"23,564",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 504,Domestic Development
Revenue,Development Expenditure,Bugiri District,District Government,"85,137",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 504,Domestic Development
Revenue,Development Expenditure,Bugiri District,District Government,0,Workplan 1a: Administration,2012/13 Approved Budget,Vote: 504,Donor Development
Revenue,Development Expenditure,Bugiri District,District Government,0,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 504,Donor Development
Revenue,Development Expenditure,Bugiri District,District Government,"647,223",Workplan 2: Finance,2012/13 Approved Budget,Vote: 504,Function Cost (UShs '000)
Revenue,Development Expenditure,Bugiri District,District Government,,Workplan 2: Finance,2013/14 Approved Budget,Vote: 504,Function Cost (UShs '000)
Revenue,Development Expenditure,Bugiri District,District Government,"647,223",Workplan 2: Finance,2012/13 Approved Budget,Vote: 504,Cost of Workplan (UShs '000):
Revenue,Development Expenditure,Bugiri District,District Government,,Workplan 2: Finance,2013/14 Approved Budget,Vote: 504,Cost of Workplan (UShs '000):
Revenue,Recurrent Revenues,Bugiri District,District Government,"6,000",Workplan 2: Finance,2012/13 Approved Budget,Vote: 504,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Bugiri District,District Government,"23,532",Workplan 2: Finance,2013/14 Approved Budget,Vote: 504,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Bugiri District,District Government,"53,442",Workplan 2: Finance,2012/13 Approved Budget,Vote: 504,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bugiri District,District Government,"199,259",Workplan 2: Finance,2013/14 Approved Budget,Vote: 504,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bugiri District,District Government,"770,820",Workplan 2: Finance,2012/13 Approved Budget,Vote: 504,Function Cost (UShs '000)
Revenue,Recurrent Revenues,Bugiri District,District Government,,Workplan 2: Finance,2013/14 Approved Budget,Vote: 504,Function Cost (UShs '000)
Revenue,Recurrent Revenues,Bugiri District,District Government,"770,820",Workplan 2: Finance,2012/13 Approved Budget,Vote: 504,Cost of Workplan (UShs '000):
Revenue,Recurrent Revenues,Bugiri District,District Government,,Workplan 2: Finance,2013/14 Approved Budget,Vote: 504,Cost of Workplan (UShs '000):
Revenue,Recurrent Revenues,Bugiri District,District Government,"5,192",Workplan 2: Finance,2012/13 Approved Budget,Vote: 504,Hard to reach allowances
Revenue,Recurrent Revenues,Bugiri District,District Government,"12,833",Workplan 2: Finance,2013/14 Approved Budget,Vote: 504,Hard to reach allowances
Revenue,Recurrent Revenues,Bugiri District,District Government,"30,048",Workplan 2: Finance,2012/13 Approved Budget,Vote: 504,Locally Raised Revenues
Revenue,Recurrent Revenues,Bugiri District,District Government,"11,283",Workplan 2: Finance,2013/14 Approved Budget,Vote: 504,Locally Raised Revenues
Revenue,Recurrent Revenues,Bugiri District,District Government,"64,158",Workplan 2: Finance,2012/13 Approved Budget,Vote: 504,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bugiri District,District Government,"113,632",Workplan 2: Finance,2013/14 Approved Budget,Vote: 504,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bugiri District,District Government,"100,103",Workplan 2: Finance,2012/13 Approved Budget,Vote: 504,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bugiri District,District Government,"502,576",Workplan 2: Finance,2013/14 Approved Budget,Vote: 504,Transfer of District Unconditional Grant - Wage
Revenue,Development Revenues,Bugiri District,District Government,0,Workplan 2: Finance,2012/13 Approved Budget,Vote: 504,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Bugiri District,District Government,"113,515",Workplan 2: Finance,2013/14 Approved Budget,Vote: 504,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Expenditure,Bugiri District,District Government,"124,730",Workplan 2: Finance,2012/13 Approved Budget,Vote: 504,Wage
Revenue,Recurrent Expenditure,Bugiri District,District Government,"502,576",Workplan 2: Finance,2013/14 Approved Budget,Vote: 504,Wage
Revenue,Recurrent Expenditure,Bugiri District,District Government,"119,266",Workplan 2: Finance,2012/13 Approved Budget,Vote: 504,Non Wage
Revenue,Recurrent Expenditure,Bugiri District,District Government,"360,539",Workplan 2: Finance,2013/14 Approved Budget,Vote: 504,Non Wage
Revenue,Development Expenditure,Bugiri District,District Government,0,Workplan 2: Finance,2012/13 Approved Budget,Vote: 504,Domestic Development
Revenue,Development Expenditure,Bugiri District,District Government,"113,515",Workplan 2: Finance,2013/14 Approved Budget,Vote: 504,Domestic Development
Revenue,Development Expenditure,Bugiri District,District Government,0,Workplan 2: Finance,2012/13 Approved Budget,Vote: 504,Donor Development
Revenue,Development Expenditure,Bugiri District,District Government,0,Workplan 2: Finance,2013/14 Approved Budget,Vote: 504,Donor Development
Revenue,Recurrent Revenues,Bugiri District,District Government,0,Workplan 3: Statutory Bodies,2012/13 Approved Budget,Vote: 504,Conditional Grant to DSC Chairs’ Salaries
Revenue,Recurrent Revenues,Bugiri District,District Government,"23,400",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 504,Conditional Grant to DSC Chairs’ Salaries
Revenue,Recurrent Revenues,Bugiri District,District Government,"1,826",Workplan 3: Statutory Bodies,2012/13 Approved Budget,Vote: 504,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Bugiri District,District Government,"3,760",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 504,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Bugiri District,District Government,"13,299",Workplan 3: Statutory Bodies,2012/13 Approved Budget,Vote: 504,Conditional transfers to Contracts Committee/DSC/PA
Revenue,Recurrent Revenues,Bugiri District,District Government,"28,120",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 504,Conditional transfers to Contracts Committee/DSC/PA
Revenue,Recurrent Revenues,Bugiri District,District Government,"12,473",Workplan 3: Statutory Bodies,2012/13 Approved Budget,Vote: 504,Conditional transfers to Councillors allowances and Ex
Revenue,Recurrent Revenues,Bugiri District,District Government,"79,680",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 504,Conditional transfers to Councillors allowances and Ex
Revenue,Recurrent Revenues,Bugiri District,District Government,"18,581",Workplan 3: Statutory Bodies,2012/13 Approved Budget,Vote: 504,Conditional transfers to DSC Operational Costs
Revenue,Recurrent Revenues,Bugiri District,District Government,"39,733",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 504,Conditional transfers to DSC Operational Costs
Revenue,Recurrent Revenues,Bugiri District,District Government,"50,400",Workplan 3: Statutory Bodies,2012/13 Approved Budget,Vote: 504,Conditional transfers to Salary and Gratuity for LG ele
