Function,Budget Type,Service,District,Government,Value,Year,Vote,Service Output
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Ntungamo District,District Government,"272,000",2014/15 Approved Budget,Vote: 546,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Ntungamo District,District Government,0,2014/15 Approved Budget,Vote: 546,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Ntungamo District,District Government,0,2014/15 Approved Budget,Vote: 546,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Domestic Dev't,3. Capital Purchases,Ntungamo District,District Government,"358,560",2014/15 Approved Budget,Vote: 546,Output: Laboratories and science room construction
Function: Secondary Education,Domestic Dev't,3. Capital Purchases,Ntungamo District,District Government,0,2014/15 Approved Budget,Vote: 546,Output: Specialised Machinery and Equipment
Function: Skills Development,Domestic Dev't,1. Higher LG Services,Ntungamo District,District Government,0,2014/15 Approved Budget,Vote: 546,Output: Tertiary Education Services
Function: Special Needs Education,Domestic Dev't,1. Higher LG Services,Ntungamo District,District Government,0,2014/15 Approved Budget,Vote: 546,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Ntungamo District,District Government,0,2014/15 Approved Budget,Vote: 546,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Ntungamo District,District Government,0,2014/15 Approved Budget,Vote: 546,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Ntungamo District,District Government,0,2014/15 Approved Budget,Vote: 546,Output: Sports Development services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,Ntungamo District,District Government,0,2014/15 Approved Budget,Vote: 546,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Ntungamo District,District Government,0,2014/15 Approved Budget,Vote: 546,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Ntungamo District,District Government,0,2014/15 Approved Budget,Vote: 546,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ntungamo District,District Government,0,2014/15 Approved Budget,Vote: 546,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ntungamo District,District Government,0,2014/15 Approved Budget,Vote: 546,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ntungamo District,District Government,0,2014/15 Approved Budget,Vote: 546,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Donor Dev't,1. Higher LG Services,Ntungamo District,District Government,0,2014/15 Approved Budget,Vote: 546,Output: Secondary Teaching Services
