Function,Budget Type,Service,District,Government,Value,Year,Vote,Service Output
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Education Management Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Monitoring and Supervision of Primary & secondary Education
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,"33,459",2014/15 Approved Budget,Vote: 573,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,"14,000",2014/15 Approved Budget,Vote: 573,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,"31,200",2014/15 Approved Budget,Vote: 573,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,"230,514",2014/15 Approved Budget,Vote: 573,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,"76,000",2014/15 Approved Budget,Vote: 573,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Domestic Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Monitoring and Supervision of Primary & secondary Education
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,Abim District,District Government,"259,145",2014/15 Approved Budget,Vote: 573,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Donor Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Secondary Teaching Services
Function: Secondary Education,Donor Dev't,2. Lower Level Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Donor Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Abim District,District Government,"8,885",2014/15 Approved Budget,Vote: 573,Output: Education Management Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Abim District,District Government,"6,529",2014/15 Approved Budget,Vote: 573,Output: Monitoring and Supervision of Primary & secondary Education
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,Abim District,District Government,"9,130",2014/15 Approved Budget,Vote: 573,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Abim District,District Government,"209,670",2014/15 Approved Budget,Vote: 573,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Non Wage Rec't:,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Secondary Teaching Services
Function: Secondary Education,Non Wage Rec't:,2. Lower Level Services,Abim District,District Government,"470,627",2014/15 Approved Budget,Vote: 573,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Non Wage Rec't:,1. Higher LG Services,Abim District,District Government,"162,512",2014/15 Approved Budget,Vote: 573,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Abim District,District Government,"48,657",2014/15 Approved Budget,Vote: 573,Output: Education Management Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Monitoring and Supervision of Primary & secondary Education
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,Abim District,District Government,"3,520,509",2014/15 Approved Budget,Vote: 573,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Wage Rec't:,1. Higher LG Services,Abim District,District Government,"486,792",2014/15 Approved Budget,Vote: 573,Output: Secondary Teaching Services
Function: Secondary Education,Wage Rec't:,2. Lower Level Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Wage Rec't:,1. Higher LG Services,Abim District,District Government,"272,274",2014/15 Approved Budget,Vote: 573,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Education Management Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Abim District,District Government,"2,533",2015/16 Proposed Budget,Vote: 573,Output: Monitoring and Supervision of Primary & secondary Education
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,"42,000",2015/16 Proposed Budget,Vote: 573,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,"112,640",2015/16 Proposed Budget,Vote: 573,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,"228,000",2015/16 Proposed Budget,Vote: 573,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Domestic Dev't,1. Higher LG Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Abim District,District Government,"259,145",2015/16 Proposed Budget,Vote: 573,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Monitoring and Supervision of Primary & secondary Education
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Donor Dev't,1. Higher LG Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Secondary Teaching Services
Function: Secondary Education,Donor Dev't,2. Lower Level Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Donor Dev't,1. Higher LG Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Abim District,District Government,"9,131",2015/16 Proposed Budget,Vote: 573,Output: Education Management Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Abim District,District Government,"15,413",2015/16 Proposed Budget,Vote: 573,Output: Monitoring and Supervision of Primary & secondary Education
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Abim District,District Government,"209,670",2015/16 Proposed Budget,Vote: 573,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Non Wage Rec't:,1. Higher LG Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Secondary Teaching Services
Function: Secondary Education,Non Wage Rec't:,2. Lower Level Services,Abim District,District Government,"470,627",2015/16 Proposed Budget,Vote: 573,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Non Wage Rec't:,1. Higher LG Services,Abim District,District Government,"162,512",2015/16 Proposed Budget,Vote: 573,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Abim District,District Government,"48,657",2015/16 Proposed Budget,Vote: 573,Output: Education Management Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Monitoring and Supervision of Primary & secondary Education
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,Abim District,District Government,"3,520,509",2015/16 Proposed Budget,Vote: 573,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Wage Rec't:,1. Higher LG Services,Abim District,District Government,"486,792",2015/16 Proposed Budget,Vote: 573,Output: Secondary Teaching Services
Function: Secondary Education,Wage Rec't:,2. Lower Level Services,Abim District,District Government,0,2015/16 Proposed Budget,Vote: 573,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Wage Rec't:,1. Higher LG Services,Abim District,District Government,"272,274",2015/16 Proposed Budget,Vote: 573,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Education Management Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Sports Development services
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,,District Government,"50,851",2014/15 Approved Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Adjumani District,District Government,"180,561",2014/15 Approved Budget,Vote: 501,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,,District Government,0,2014/15 Approved Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Adjumani District,District Government,"15,057",2014/15 Approved Budget,Vote: 501,Output: Other Capital
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Adjumani District,District Government,"142,341",2014/15 Approved Budget,Vote: 501,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Adjumani District,District Government,"270,000",2014/15 Approved Budget,Vote: 501,Output: PRDP-Teacher house construction and rehabilitation
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Secondary Capitation(USE)(LLS)
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Adjumani District,District Government,"175,010",2014/15 Approved Budget,Vote: 501,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Sports Development services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,,District Government,0,2014/15 Approved Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,,District Government,0,2014/15 Approved Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Other Capital
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: PRDP-Teacher house construction and rehabilitation
Function: Secondary Education,Donor Dev't,1. Higher LG Services,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Secondary Teaching Services
Function: Secondary Education,Donor Dev't,2. Lower Level Services,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Secondary Capitation(USE)(LLS)
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,"30,901",2014/15 Approved Budget,Vote: 501,Output: Education Management Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,"31,614",2014/15 Approved Budget,Vote: 501,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,"3,000",2014/15 Approved Budget,Vote: 501,Output: Sports Development services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,,District Government,"864,098",2014/15 Approved Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Adjumani District,District Government,"1,700",2014/15 Approved Budget,Vote: 501,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,,District Government,"332,575",2014/15 Approved Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Other Capital
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: PRDP-Teacher house construction and rehabilitation
Function: Secondary Education,Non Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Secondary Teaching Services
Function: Secondary Education,Non Wage Rec't:,2. Lower Level Services,Adjumani District,District Government,"416,370",2014/15 Approved Budget,Vote: 501,Output: Secondary Capitation(USE)(LLS)
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,"117,954",2014/15 Approved Budget,Vote: 501,Output: Education Management Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Sports Development services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,,District Government,"4,377,393",2014/15 Approved Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,,District Government,0,2014/15 Approved Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Other Capital
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: PRDP-Teacher house construction and rehabilitation
Function: Secondary Education,Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,"886,759",2014/15 Approved Budget,Vote: 501,Output: Secondary Teaching Services
Function: Secondary Education,Wage Rec't:,2. Lower Level Services,Adjumani District,District Government,0,2014/15 Approved Budget,Vote: 501,Output: Secondary Capitation(USE)(LLS)
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Education Management Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Sports Development services
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Adjumani District,District Government,"180,561",2015/16 Proposed Budget,Vote: 501,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,,District Government,0,2015/16 Proposed Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Adjumani District,District Government,"21,370",2015/16 Proposed Budget,Vote: 501,Output: Other Capital
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Adjumani District,District Government,"137,428",2015/16 Proposed Budget,Vote: 501,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Adjumani District,District Government,"268,600",2015/16 Proposed Budget,Vote: 501,Output: PRDP-Teacher house construction and rehabilitation
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Secondary Capitation(USE)(LLS)
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Adjumani District,District Government,"105,010",2015/16 Proposed Budget,Vote: 501,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Sports Development services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,,District Government,0,2015/16 Proposed Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Adjumani District,District Government,"100,000",2015/16 Proposed Budget,Vote: 501,Output: Other Capital
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: PRDP-Latrine construction and rehabilitation
