Revenue/Expenditure,Budget Type,District,Government,Value,Workplan,Year,Vote,Revenue Source
Revenue,Development Revenues,Bukwo District,District Government,591,Workplan 2: Finance,2014/15 Proposed Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"145,816",Workplan 2: Finance,2013/14 Approved Budget,Vote: 567,Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"182,052",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 567,Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"90,448",Workplan 2: Finance,2013/14 Approved Budget,Vote: 567,Non Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"81,912",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 567,Non Wage
Expenditure,Development Expenditure,Bukwo District,District Government,0,Workplan 2: Finance,2013/14 Approved Budget,Vote: 567,Domestic Development
Expenditure,Development Expenditure,Bukwo District,District Government,591,Workplan 2: Finance,2014/15 Proposed Budget,Vote: 567,Domestic Development
Expenditure,Development Expenditure,Bukwo District,District Government,0,Workplan 2: Finance,2013/14 Approved Budget,Vote: 567,Donor Development
Expenditure,Development Expenditure,Bukwo District,District Government,0,Workplan 2: Finance,2014/15 Proposed Budget,Vote: 567,Donor Development
Revenue,Recurrent Revenues,Bukwo District,District Government,"95,640",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Conditional transfers to Councillors allowances and Ex
Revenue,Recurrent Revenues,Bukwo District,District Government,"89,308",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Conditional transfers to Councillors allowances and Ex
Revenue,Recurrent Revenues,Bukwo District,District Government,"18,821",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Conditional transfers to DSC Operational Costs
Revenue,Recurrent Revenues,Bukwo District,District Government,"18,821",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Conditional transfers to DSC Operational Costs
Revenue,Recurrent Revenues,Bukwo District,District Government,"135,720",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Conditional transfers to Salary and Gratuity for LG ele
Revenue,Recurrent Revenues,Bukwo District,District Government,"146,016",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Conditional transfers to Salary and Gratuity for LG ele
Revenue,Recurrent Revenues,Bukwo District,District Government,"49,298",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"41,000",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"4,525",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Bukwo District,District Government,"4,525",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Bukwo District,District Government,"37,563",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bukwo District,District Government,"32,398",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bukwo District,District Government,"23,400",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Conditional Grant to DSC Chairs’ Salaries
Revenue,Recurrent Revenues,Bukwo District,District Government,"24,523",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Conditional Grant to DSC Chairs’ Salaries
Revenue,Recurrent Revenues,Bukwo District,District Government,"45,547",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"45,547",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"25,000",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Locally Raised Revenues
Revenue,Recurrent Revenues,Bukwo District,District Government,"29,800",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Locally Raised Revenues
Revenue,Recurrent Revenues,Bukwo District,District Government,"28,120",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Conditional transfers to Contracts Committee/DSC/PA
Revenue,Recurrent Revenues,Bukwo District,District Government,"28,120",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Conditional transfers to Contracts Committee/DSC/PA
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"170,091",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"170,091",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"293,543",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Non Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"289,967",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Non Wage
Expenditure,Development Expenditure,Bukwo District,District Government,0,Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Domestic Development
Expenditure,Development Expenditure,Bukwo District,District Government,0,Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Domestic Development
Expenditure,Development Expenditure,Bukwo District,District Government,0,Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Donor Development
Expenditure,Development Expenditure,Bukwo District,District Government,0,Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Donor Development
Revenue,Recurrent Revenues,Bukwo District,District Government,,Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 567,Other Transfers from Central Government
Revenue,Recurrent Revenues,Bukwo District,District Government,,Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 567,Other Transfers from Central Government
Revenue,Recurrent Revenues,Bukwo District,District Government,"42,680",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 567,Conditional transfers to Production and Marketing
Revenue,Recurrent Revenues,Bukwo District,District Government,"41,140",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 567,Conditional transfers to Production and Marketing
Revenue,Recurrent Revenues,Bukwo District,District Government,,Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 567,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,,Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 567,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"238,335",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 567,NAADS (Districts) - Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"183,845",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 567,NAADS (Districts) - Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"13,651",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 567,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"13,651",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 567,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,842,Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bukwo District,District Government,510,Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bukwo District,District Government,"47,965",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 567,Conditional Grant to Agric. Ext Salaries
Revenue,Recurrent Revenues,Bukwo District,District Government,"47,965",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 567,Conditional Grant to Agric. Ext Salaries
Revenue,Development Revenues,Bukwo District,District Government,,Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 567,District Unconditional Grant - Non Wage
Revenue,Development Revenues,Bukwo District,District Government,,Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 567,District Unconditional Grant - Non Wage
Revenue,Development Revenues,Bukwo District,District Government,"8,423",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 567,Locally Raised Revenues
Revenue,Development Revenues,Bukwo District,District Government,"8,423",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 567,Locally Raised Revenues
Revenue,Development Revenues,Bukwo District,District Government,"825,396",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 567,Conditional Grant for NAADS
Revenue,Development Revenues,Bukwo District,District Government,"169,508",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 567,Conditional Grant for NAADS
Revenue,Development Revenues,Bukwo District,District Government,"41,274",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
