Revenue/Expenditure,Budget Type,District,Government,Value,Workplan,Year,Vote,Revenue Source
Revenue,Recurrent Revenues,Buyende District,District Government,"1,425",Workplan 11: Internal Audit,2014/15 Proposed Budget,Vote: 583,Locally Raised Revenues
Revenue,Recurrent Revenues,Buyende District,District Government,"6,430",Workplan 11: Internal Audit,2013/14 Approved Budget,Vote: 583,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Buyende District,District Government,"6,430",Workplan 11: Internal Audit,2014/15 Proposed Budget,Vote: 583,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Buyende District,District Government,"3,300",Workplan 11: Internal Audit,2013/14 Approved Budget,Vote: 583,District Unconditional Grant - Non Wage
Revenue,Development Revenues,Buyende District,District Government,,Workplan 11: Internal Audit,2014/15 Proposed Budget,Vote: 583,District Unconditional Grant - Non Wage
Expenditure,Recurrent Expenditure,Buyende District,District Government,"23,428",Workplan 11: Internal Audit,2013/14 Approved Budget,Vote: 583,Wage
Expenditure,Recurrent Expenditure,Buyende District,District Government,"23,428",Workplan 11: Internal Audit,2014/15 Proposed Budget,Vote: 583,Wage
Expenditure,Recurrent Expenditure,Buyende District,District Government,"20,519",Workplan 11: Internal Audit,2013/14 Approved Budget,Vote: 583,Non Wage
Expenditure,Recurrent Expenditure,Buyende District,District Government,"23,533",Workplan 11: Internal Audit,2014/15 Proposed Budget,Vote: 583,Non Wage
Expenditure,Development Expenditure,Buyende District,District Government,"3,300",Workplan 11: Internal Audit,2013/14 Approved Budget,Vote: 583,Domestic Development
Expenditure,Development Expenditure,Buyende District,District Government,0,Workplan 11: Internal Audit,2014/15 Proposed Budget,Vote: 583,Domestic Development
Expenditure,Development Expenditure,Buyende District,District Government,0,Workplan 11: Internal Audit,2013/14 Approved Budget,Vote: 583,Donor Development
Expenditure,Development Expenditure,Buyende District,District Government,0,Workplan 11: Internal Audit,2014/15 Proposed Budget,Vote: 583,Donor Development
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"143,264",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 752,Locally Raised Revenues
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"258,181",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 752,Locally Raised Revenues
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"65,102",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 752,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"65,102",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 752,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"131,710",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 752,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"481,465",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 752,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"207,104",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"182,600",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"18,257",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 752,LGMSD (Former LGDP)
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"20,990",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 752,LGMSD (Former LGDP)
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"11,500",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 752,Locally Raised Revenues
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"7,464",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 752,Locally Raised Revenues
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"335,500",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 752,Other Transfers from Central Government
Revenue,Development Revenues,Entebbe Municipal Council,District Government,0,Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 752,Other Transfers from Central Government
Revenue,Development Revenues,Entebbe Municipal Council,District Government,,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 752,Uganda Support to Municipal Infrastructure Developm
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"438,484",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 752,Uganda Support to Municipal Infrastructure Developm
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"131,710",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 752,Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"481,465",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 752,Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"415,470",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 752,Non Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"505,883",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 752,Non Wage
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,"365,257",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 752,Domestic Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,"466,938",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 752,Domestic Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,0,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 752,Donor Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,0,Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 752,Donor Development
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"28,507",Workplan 2: Finance,2013/14 Approved Budget,Vote: 752,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"28,507",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 752,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"484,707",Workplan 2: Finance,2013/14 Approved Budget,Vote: 752,Locally Raised Revenues
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"512,964",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 752,Locally Raised Revenues
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"115,181",Workplan 2: Finance,2013/14 Approved Budget,Vote: 752,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"115,181",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 752,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"397,519",Workplan 2: Finance,2013/14 Approved Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"748,074",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"4,580",Workplan 2: Finance,2013/14 Approved Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"4,580",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"32,000",Workplan 2: Finance,2013/14 Approved Budget,Vote: 752,Locally Raised Revenues
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"32,640",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 752,Locally Raised Revenues
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"115,181",Workplan 2: Finance,2013/14 Approved Budget,Vote: 752,Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"115,181",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 752,Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"910,733",Workplan 2: Finance,2013/14 Approved Budget,Vote: 752,Non Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"1,289,545",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 752,Non Wage
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,"36,580",Workplan 2: Finance,2013/14 Approved Budget,Vote: 752,Domestic Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,"37,220",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 752,Domestic Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,0,Workplan 2: Finance,2013/14 Approved Budget,Vote: 752,Donor Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,0,Workplan 2: Finance,2014/15 Proposed Budget,Vote: 752,Donor Development
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"19,778",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 752,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"19,778",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 752,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"4,560",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 752,Conditional transfers to Councillors allowances and Ex
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"59,760",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 752,Conditional transfers to Councillors allowances and Ex
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"32,760",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 752,Conditional transfers to Salary and Gratuity for LG ele
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"34,070",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 752,Conditional transfers to Salary and Gratuity for LG ele
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"285,545",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"145,405",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"2,103",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 752,Conditional Grant to DSC Chairs’ Salaries
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,0,Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 752,Conditional Grant to DSC Chairs’ Salaries
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"25,200",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 752,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"25,200",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 752,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"274,129",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 752,Locally Raised Revenues
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"156,325",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 752,Locally Raised Revenues
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"5,212",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 752,Conditional transfers to Contracts Committee/DSC/PA
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"5,212",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 752,Conditional transfers to Contracts Committee/DSC/PA
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"7,000",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 752,Locally Raised Revenues
Revenue,Development Revenues,Entebbe Municipal Council,District Government,0,Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 752,Locally Raised Revenues
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"40,000",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 752,Urban Unconditional Grant - Non Wage
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"40,000",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 752,Urban Unconditional Grant - Non Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"27,303",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 752,Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"59,270",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 752,Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"621,985",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 752,Non Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"386,480",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 752,Non Wage
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,"47,000",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 752,Domestic Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,"40,000",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 752,Domestic Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,0,Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 752,Donor Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,0,Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 752,Donor Development
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"4,868",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 752,Other Transfers from Central Government
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"4,868",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 752,Other Transfers from Central Government
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"1,811",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 752,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"1,811",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 752,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"16,722",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 752,Locally Raised Revenues
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"17,056",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 752,Locally Raised Revenues
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"21,574",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 752,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"21,574",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 752,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"61,731",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"20,966",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"10,913",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 752,Conditional Grant to Agric. Ext Salaries
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"10,913",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 752,Conditional Grant to Agric. Ext Salaries
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"5,000",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 752,Locally Raised Revenues
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"5,100",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 752,Locally Raised Revenues
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"162,104",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"162,104",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"21,574",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 752,Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"21,574",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 752,Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"96,045",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 752,Non Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"55,614",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 752,Non Wage
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,"167,104",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 752,Domestic Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,"167,204",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 752,Domestic Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,0,Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 752,Donor Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,0,Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 752,Donor Development
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"49,863",Workplan 5: Health,2013/14 Approved Budget,Vote: 752,Conditional Grant to PHC- Non wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"49,863",Workplan 5: Health,2014/15 Proposed Budget,Vote: 752,Conditional Grant to PHC- Non wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"1,173,527",Workplan 5: Health,2013/14 Approved Budget,Vote: 752,Conditional Grant to PHC Salaries
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"1,215,125",Workplan 5: Health,2014/15 Proposed Budget,Vote: 752,Conditional Grant to PHC Salaries
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"19,290",Workplan 5: Health,2013/14 Approved Budget,Vote: 752,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"19,290",Workplan 5: Health,2014/15 Proposed Budget,Vote: 752,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"273,059",Workplan 5: Health,2013/14 Approved Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"278,015",Workplan 5: Health,2014/15 Proposed Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"36,298",Workplan 5: Health,2013/14 Approved Budget,Vote: 752,Locally Raised Revenues
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"57,990",Workplan 5: Health,2014/15 Proposed Budget,Vote: 752,Locally Raised Revenues
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"69,261",Workplan 5: Health,2013/14 Approved Budget,Vote: 752,Conditional Grant to PHC - development
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"69,254",Workplan 5: Health,2014/15 Proposed Budget,Vote: 752,Conditional Grant to PHC - development
Revenue,Development Revenues,Entebbe Municipal Council,District Government,,Workplan 5: Health,2013/14 Approved Budget,Vote: 752,LGMSD (Former LGDP)
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"18,000",Workplan 5: Health,2014/15 Proposed Budget,Vote: 752,LGMSD (Former LGDP)
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"1,173,527",Workplan 5: Health,2013/14 Approved Budget,Vote: 752,Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"1,215,125",Workplan 5: Health,2014/15 Proposed Budget,Vote: 752,Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"378,510",Workplan 5: Health,2013/14 Approved Budget,Vote: 752,Non Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"405,158",Workplan 5: Health,2014/15 Proposed Budget,Vote: 752,Non Wage
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,"69,261",Workplan 5: Health,2013/14 Approved Budget,Vote: 752,Domestic Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,"87,254",Workplan 5: Health,2014/15 Proposed Budget,Vote: 752,Domestic Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,0,Workplan 5: Health,2013/14 Approved Budget,Vote: 752,Donor Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,0,Workplan 5: Health,2014/15 Proposed Budget,Vote: 752,Donor Development
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"25,354",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"25,354",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"11,029",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Conditional transfers to School Inspection Grant
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"12,963",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Conditional transfers to School Inspection Grant
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"5,434",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"17,658",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"292,486",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Conditional Grant to Secondary Education
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"390,728",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Conditional Grant to Secondary Education
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"60,733",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Locally Raised Revenues
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"61,948",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Locally Raised Revenues
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"30,116",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"30,718",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"4,000",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Other Transfers from Central Government
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"4,000",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Other Transfers from Central Government
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"87,000",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Conditional Transfers for Non Wage Community Polyt
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"116,000",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Conditional Transfers for Non Wage Community Polyt
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"1,185,880",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Conditional Grant to Primary Salaries
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"1,522,797",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Conditional Grant to Primary Salaries
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"59,004",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Conditional Grant to Primary Education
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"79,358",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Conditional Grant to Primary Education
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"1,064,345",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Conditional Grant to Secondary Salaries
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"1,261,434",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Conditional Grant to Secondary Salaries
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,0,Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Conditional Grant to Tertiary Salaries
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"20,867",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Conditional Grant to Tertiary Salaries
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"2,500",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Locally Raised Revenues
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"2,550",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Locally Raised Revenues
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"210,652",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Conditional Grant to SFG
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"210,652",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Conditional Grant to SFG
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"200,000",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Construction of Secondary Schools
Revenue,Development Revenues,Entebbe Municipal Council,District Government,0,Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Construction of Secondary Schools
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"77,932",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,LGMSD (Former LGDP)
Revenue,Development Revenues,Entebbe Municipal Council,District Government,"71,656",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,LGMSD (Former LGDP)
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"2,275,579",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"2,830,452",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"549,801",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Non Wage
Expenditure,Recurrent Expenditure,Entebbe Municipal Council,District Government,"713,373",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Non Wage
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,"491,084",Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Domestic Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,"284,858",Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Domestic Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,0,Workplan 6: Education,2013/14 Approved Budget,Vote: 752,Donor Development
Expenditure,Development Expenditure,Entebbe Municipal Council,District Government,0,Workplan 6: Education,2014/15 Proposed Budget,Vote: 752,Donor Development
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"289,623",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 752,Locally Raised Revenues
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,0,Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 752,Locally Raised Revenues
Revenue,Recurrent Revenues,Entebbe Municipal Council,District Government,"142,128",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 752,Multi-Sectoral Transfers to LLGs
