false,0,true,"ALB","Albania","ECA",3,"2012",0,"58.17","2.380","225.28","2.50","0.51","0.18","0.65","28.96","13.84","-1","-1","-1","-1","1","2.90","2012","ALB2012C",0,"3.66","5.19","6.14","7.03","8.08","9.26","10.52","12.29","14.89","22.93",
false,0,true,"ALB","Albania","ECA",3,"2008",0,"58.17","2.380","237.52","1.26","0.20","0.06","0.24","29.98","14.89","-1","-1","-1","-1","1","2.95","2008","ALB2008C",0,"3.73","5.14","6.09","6.98","7.91","8.92","10.30","11.93","14.54","24.46",
false,0,true,"ALB","Albania","ECA",3,"2005",0,"58.17","2.380","217.16","3.89","0.62","0.17","0.73","30.60","15.44","-1","-1","-1","-1","1","3.01","2005","ALB2005C",0,"3.48","4.92","5.98","6.92","7.99","9.04","10.37","12.13","14.83","24.34",
false,0,true,"ALB","Albania","ECA",3,"2002",0,"58.17","2.380","194.51","6.16","1.08","0.33","1.32","32.46","17.31","-1","-1","-1","-1","1","3.05","2002","ALB2002C",0,"3.42","4.77","5.75","6.66","7.59","8.79","10.17","11.93","14.88","26.04",
false,0,true,"ALB","Albania","ECA",3,"1996",0,"58.17","2.380","187.95","4.27","0.69","0.18","0.81","27.01","11.91","-1","-1","-1","-1","1","3.17","1996","ALB1996C",0,"3.86","5.29","6.38","7.32","8.38","9.35","10.82","12.47","14.90","21.22",
false,0,true,"AGO","Angola","SSA",3,"2008.5",0,"73.83","2.380","120.74","40.63","14.90","7.29","21.38","42.72","31.16","-1","-1","-1","-1","1","18.31","2008.5","AGO2008.5C",0,"2.07","3.36","4.32","5.30","6.54","7.92","9.65","12.29","16.23","32.31",
false,0,true,"AGO","Angola","SSA",2,"2000.21",0,"73.83","2.380","136.70","42.05","19.26","11.82","33.38","51.96","51.26","-1","-1","-1","-1","1","6.82","2000.21","AGO2000.21C",0,"0.98","2.20","3.34","4.50","5.66","7.05","8.81","11.35","15.87","40.25",
false,0,true,"ARG","Argentina","LAC",2,"2013",1,"2.77","2.380","645.46","2.43","1.17","0.87","0.84","42.28","35.76","-1","-1","-1","-1","1","0.00","2013","ARG2013I",1,"1.60","3.15","4.31","5.49","6.84","8.35","10.24","12.79","16.67","30.56",
false,0,true,"ARG","Argentina","LAC",2,"2012",1,"2.77","2.380","644.44","2.43","1.03","0.70","0.94","42.49","34.92","-1","-1","-1","-1","1","38.06","2012","ARG2012I",1,"1.60","3.13","4.29","5.46","6.82","8.31","10.16","12.72","16.74","30.77",
false,0,true,"ARG","Argentina","LAC",2,"2011",1,"2.77","2.380","655.15","2.20","1.04","0.74","0.90","43.57","36.51","-1","-1","-1","-1","1","37.67","2011","ARG2011I",1,"1.57","3.01","4.16","5.38","6.66","8.13","9.93","12.50","16.82","31.84",
