country.id,flow,value
SL,fdi,514194859.9
SN,fdi,292547543
SO,fdi,0
SR,fdi,113234512.9
SS,fdi,0
ST,fdi,26484887.46
SV,fdi,140116986.8
SY,fdi,0
SZ,fdi,72814616.84
TD,fdi,540912821.8
TG,fdi,80551340.08
TH,fdi,13027977759
TJ,fdi,103554305.9
TK,fdi,0
TL,fdi,24160005.3
TM,fdi,2927839350
TN,fdi,1094173095
TO,fdi,11532010.76
TR,fdi,12636741219
TV,fdi,0
TZ,fdi,1711491010
UA,fdi,3742642113
UG,fdi,1091164778
UY,fdi,2602140691
UZ,fdi,1050023714
VC,fdi,124039472.2
VE,fdi,9766808346
VN,fdi,8543222293
VU,fdi,34880197.38
WF,fdi,0
WS,fdi,28858869.42
XK,fdi,0
YE,fdi,-119825616.6
ZA,fdi,9144259420
ZM,fdi,1797077024
ZW,fdi,417678836.9
BR,longdebt,1.05E+11
MX,longdebt,78297744025
TR,longdebt,74107779844
IN,longdebt,66189996724
CN,longdebt,51590945339
ID,longdebt,49809187687
KZ,longdebt,41823382780
UA,longdebt,32304914779
CO,longdebt,20066165943
TH,longdebt,17788308239
MY,longdebt,17717648856
ZA,longdebt,9891879850
RS,longdebt,7326617180
AR,longdebt,7323864970
VN,longdebt,5864302380
CR,longdebt,5222386435
PE,longdebt,5454093105
MA,longdebt,4092853668
AO,longdebt,4179524416
PH,longdebt,3790525455
MU,longdebt,3489578089
MN,longdebt,3447461682
EG,longdebt,3100077196
BY,longdebt,2749405868
LB,longdebt,2953238909
JO,longdebt,2575646309
GT,longdebt,2623148101
NG,longdebt,2429442313
EC,longdebt,2500913114
AM,longdebt,2520119854
PA,longdebt,2035351849
DO,longdebt,2067086373
HN,longdebt,1973401145
GH,longdebt,1782798337
JM,longdebt,1906254025
GA,longdebt,1756298970
PK,longdebt,1738256978
ZW,longdebt,1612020531
UZ,longdebt,1564620268
LK,longdebt,1460400329
CI,longdebt,1353395364
PY,longdebt,1386184935
PG,longdebt,1159398582
GE,longdebt,1068893356
TZ,longdebt,891156493.2
LA,longdebt,897408990.6
MZ,longdebt,872526897.1
NI,longdebt,850245518
MK,longdebt,732181666.3
BO,longdebt,684975473.5
MD,longdebt,585723559.8
AZ,longdebt,526593543.3
KG,longdebt,535351650.4
ET,longdebt,518481355.9
SV,longdebt,500818084.3
RW,longdebt,401842395.5
AL,longdebt,372297958.8
ME,longdebt,271679826.8
TN,longdebt,250161561.9
CG,longdebt,214340795.1
CM,longdebt,182106738
SN,longdebt,123781017.6
VE,longdebt,155823770.3
XK,longdebt,110686425.8
BA,longdebt,98784059.76
CV,longdebt,61097216.74
TG,longdebt,57344267.82
ZM,longdebt,47977150.42
BZ,longdebt,40558002.08
KE,longdebt,12976160.26
TM,longdebt,11371897.48
BT,longdebt,9733951.685
MV,longdebt,6403353.864
SB,longdebt,5143924.53
IR,longdebt,4255009.247
GM,longdebt,3511487.858
MG,longdebt,2764975.121
VC,longdebt,956130.6436
CD,longdebt,514899.631
SC,longdebt,355771.3109
ML,longdebt,314421.1478
FJ,longdebt,24967.73674
AF,longdebt,-1
AG,longdebt,-1
BD,longdebt,-1
BF,longdebt,-1
BI,longdebt,-1
BJ,longdebt,-1
BW,longdebt,-1
CF,longdebt,-1
CK,longdebt,-1
CL,longdebt,-1
CU,longdebt,-1
DJ,longdebt,-1
DM,longdebt,-1
DZ,longdebt,-1
ER,longdebt,-1
FM,longdebt,-1
GD,longdebt,-1
GN,longdebt,-1
GQ,longdebt,-1
GW,longdebt,-1
GY,longdebt,-1
HT,longdebt,-1
IQ,longdebt,-1
KH,longdebt,-1
KI,longdebt,-1
KM,longdebt,-1
KP,longdebt,-1
LC,longdebt,-1
LR,longdebt,-1
LS,longdebt,-1
LY,longdebt,-1
MH,longdebt,-1
MM,longdebt,-1
MR,longdebt,-1
MS,longdebt,-1
MW,longdebt,-1
NA,longdebt,-1
NE,longdebt,-1
NP,longdebt,-1
NR,longdebt,-1
NU,longdebt,-1
PS,longdebt,-1
PW,longdebt,-1
SD,longdebt,-1
SH,longdebt,-1
SL,longdebt,-1
SO,longdebt,-1
SR,longdebt,-1
SS,longdebt,-1
ST,longdebt,-1
SY,longdebt,-1
SZ,longdebt,-1
TD,longdebt,-1
TJ,longdebt,-1
TK,longdebt,-1
TL,longdebt,-1
TO,longdebt,-1
TV,longdebt,-1
UG,longdebt,-1
UY,longdebt,-1
VU,longdebt,-1
WF,longdebt,-1
WS,longdebt,-1
YE,longdebt,-1
AF,oda,5238.541279
AG,oda,2.62225595
AL,oda,285.5590323
AM,oda,317.5674691
AO,oda,337.8107834
AR,oda,82.39932701
AZ,oda,291.0058364
BA,oda,589.7468839
BD,oda,3499.171033
BF,oda,1078.137703
BI,oda,562.2690852
BJ,oda,674.2695971
BO,oda,720.6024032
BR,oda,1371.647493
BT,oda,144.7703741
BW,oda,126.062092
BY,oda,99.91771499
BZ,oda,53.14202638
CD,oda,2551.035901
CF,oda,193.5289449
CG,oda,174.7705481
CI,oda,2099.643687
CK,oda,16.80530024
CL,oda,92.41336098
CM,oda,773.413593
CN,oda,1780.381185
CO,oda,874.465524
CR,oda,77.98170595
CU,oda,98.40736949
CV,oda,259.3160021
DJ,oda,150.2129565
DM,oda,26.3945891
DO,oda,206.9875063
DZ,oda,252.2210207
EC,oda,222.0082182
EG,oda,1209.077118
ER,oda,88.74935301
ET,oda,3888.404962
FJ,oda,95.69756863
FM,oda,148.6073524
GA,oda,101.5103738
GD,oda,16.44583367
GE,oda,706.0276379
GH,oda,1410.908712
GM,oda,123.4993157
GN,oda,663.4185494
GQ,oda,9.70691717
GT,oda,542.0824833
GW,oda,104.0602323
GY,oda,122.1452327
HN,oda,653.9400658
HT,oda,1154.86738
ID,oda,2676.949469
IN,oda,4845.715865
IQ,oda,1669.155194
IR,oda,126.1806122
JM,oda,149.7193519
JO,oda,1398.194651
KE,oda,3575.611733
KG,oda,387.8829973
KH,oda,892.9623598
KI,oda,69.86719826
KM,oda,172.9482011
KP,oda,74.40701412
KZ,oda,141.2166469
LA,oda,478.0645529
LB,oda,712.3699328
LC,oda,30.36630122
LK,oda,955.2836639
LR,oda,534.0889392
LS,oda,334.2056714
LY,oda,137.0690383
MA,oda,2389.026124
MD,oda,352.4731629
ME,oda,134.448012
MG,oda,711.4862712
MH,oda,98.02762122
MK,oda,300.1723512
ML,oda,1409.02251
MM,oda,8803.473256
MN,oda,515.7391416
MR,oda,328.9895243
MS,oda,54.42527071
MU,oda,172.9653968
MV,oda,31.8143864
MW,oda,1162.315428
MX,oda,760.754061
MY,oda,226.8038687
MZ,oda,2420.728642
NA,oda,297.9313367
NE,oda,796.5507877
NG,oda,2658.858517
NI,oda,520.8636369
NP,oda,1041.271296
NR,oda,30.22232783
NU,oda,18.01660372
PA,oda,52.69384723
PE,oda,532.181032
PG,oda,732.1319027
PH,oda,1094.290054
PK,oda,2788.440823
PS,oda,2410.611547
PW,oda,39.03949172
PY,oda,191.465238
RS,oda,921.2592657
RW,oda,1093.824914
SB,oda,309.0027
SC,oda,22.08605819
SD,oda,1176.162626
SH,oda,137.5458237
SL,oda,553.4016196
SN,oda,1031.628727
SO,oda,860.6139492
SR,oda,29.97101794
SS,oda,1443.824036
ST,oda,53.64896147
SV,oda,232.9208207
SY,oda,1960.035105
SZ,oda,123.0540676
TD,oda,453.5553976
TG,oda,228.768394
TH,oda,994.4728863
TJ,oda,393.3650332
TK,oda,23.26275909
TL,oda,266.7639774
TM,oda,23.89830848
TN,oda,999.3679338
TO,oda,85.65681501
TR,oda,3487.189273
TV,oda,29.16059741
TZ,oda,3677.938792
UA,oda,737.5096792
UG,oda,1837.465373
UY,oda,45.09570691
UZ,oda,340.7745499
VC,oda,12.95409521
VE,oda,38.68981767
VN,oda,5099.184714
VU,oda,99.66133283
WF,oda,101.3286211
WS,oda,129.8483338
XK,oda,482.9327135
YE,oda,1070.900162
ZA,oda,1420.739331
ZM,oda,1159.587935
ZW,oda,826.848626
AF,remittances,0
AG,remittances,21608197.42
AL,remittances,0
AM,remittances,2331420294
AO,remittances,46779.3341
AR,remittances,0
AZ,remittances,1646953070
BA,remittances,1804351991
BD,remittances,13225670145
BF,remittances,0
BI,remittances,49480001.04
BJ,remittances,160079241.1
BO,remittances,1084173732
BR,remittances,2428518433
BT,remittances,11796969.55
BW,remittances,36253475.24
BY,remittances,1133847558
BZ,remittances,71906063.59
CD,remittances,11929750.56
CF,remittances,0
CG,remittances,0
CI,remittances,549127212.1
CK,remittances,0
CL,remittances,291984.9682
CM,remittances,196178860.5
CN,remittances,59425784530
CO,remittances,3949829549
CR,remittances,0
CU,remittances,0
CV,remittances,180260417.3
DJ,remittances,0
DM,remittances,23877853.12
DO,remittances,4276742251
DZ,remittances,1953451982
EC,remittances,2479393214
EG,remittances,16637360765
ER,remittances,0
ET,remittances,596344947.1
FJ,remittances,245134720.3
FM,remittances,0
GA,remittances,0
GD,remittances,28295828.13
GE,remittances,1972934220
GH,remittances,135977902.7
GM,remittances,0
GN,remittances,65410977.03
GQ,remittances,0
GT,remittances,5239782158
GW,remittances,46450637.79
GY,remittances,322062655.9
HN,remittances,3136382448
HT,remittances,1758934982
ID,remittances,7316965172
IN,remittances,76394565898
IQ,remittances,273359992.4
IR,remittances,1267972585
JM,remittances,0
JO,remittances,3540145652
KE,remittances,1276185743
KG,remittances,2376827882
KH,remittances,163690104.9
KI,remittances,0
KM,remittances,56590379.31
KP,remittances,0
KZ,remittances,197311062.6
LA,remittances,55472193.75
LB,remittances,7168466405
LC,remittances,30579477.34
LK,remittances,6078163596
LR,remittances,0
LS,remittances,538174225.4
LY,remittances,0
MA,remittances,0
MD,remittances,2118203132
ME,remittances,378759758.2
MG,remittances,0
MH,remittances,22865920.26
MK,remittances,0
ML,remittances,752553318.3
MM,remittances,539754245
MN,remittances,259077042.8
MR,remittances,0
