This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Stock quote and option quote for AAPL on 9/17/14 16:11:16

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
101.61,Q,+.75,101.61,Q,101.62,Q,15 x 31,"56,646,602",101.27,101.80,100.5922

UNDERLYING EXTRA INFO
Yield,PE,EPS,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
1.85%,16.34,6.22,.47,Q,8/7/14,103.74,63.9286,"5,987,867,000",.9006

SEP 14  (2)  100
,,LAST,LX,Net Chng,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,,
,,28.50,Z,0,31.50,A,31.75,A,SEP 14,70,0,B,.06,N,, ,,,
,,26.54,A,+2.02,26.50,N,26.75,N,SEP 14,75,0,B,.06,N,, ,,,
,,, ,,21.45,A,21.75,N,SEP 14,80,0,B,.07,A,.08,A,0,,
,,10.90,N,0,16.45,A,16.80,A,SEP 14,85,0,B,.06,N,.09,A,0,,
,,, ,,14.50,A,14.75,N,SEP 14,87,0,B,.06,N,, ,,,
,,, ,,13.50,A,13.75,N,SEP 14,88,0,B,.06,N,, ,,,
,,, ,,12.50,A,12.75,N,SEP 14,89,0,B,.06,N,, ,,,
,,10.45,A,0,11.50,A,11.75,N,SEP 14,90,0,B,.06,N,.07,N,0,,
,,, ,,10.50,A,10.75,N,SEP 14,91,0,B,.06,N,, ,,,
,,, ,,9.50,A,9.75,N,SEP 14,92,0,B,.06,N,, ,,,
,,, ,,8.50,A,8.75,A,SEP 14,93,0,B,.07,A,, ,,,
,,, ,,7.50,A,7.75,A,SEP 14,94,0,B,.07,N,, ,,,
,,6.00,A,+.40,6.50,A,6.75,A,SEP 14,95,0,B,.07,N,.04,A,-.01,,
,,5.65,N,0,5.50,A,5.75,A,SEP 14,96,0,B,.08,A,.20,B,0,,
,,4.50,N,+.95,4.55,A,4.75,A,SEP 14,97,0,B,.09,A,.20,A,0,,
,,4.20,A,0,3.55,A,3.80,A,SEP 14,98,.03,N,.10,N,.43,N,0,,
,,2.85,A,+1.28,2.60,A,2.82,A,SEP 14,99,.06,Z,.13,N,.11,A,-.42,,
,,1.70,Z,+.25,1.70,N,1.85,Z,SEP 14,100,.13,N,.22,N,.22,A,-.31,,
,,.84,A,-.11,.95,A,1.07,A,SEP 14,101,.36,A,.44,A,.43,B,-1.57,,
,,.48,A,+.05,.44,Z,.51,A,SEP 14,102,.81,A,.91,A,.86,N,-1.94,,
,,.16,N,+.05,.13,A,.20,Z,SEP 14,103,1.50,B,1.64,Z,1.70,N,-.53,,
,,.06,N,-.06,.03,Z,.10,Z,SEP 14,104,2.32,A,2.55,A,, ,,,
,,.03,B,+.01,0,B,.04,N,SEP 14,105,3.25,A,3.55,A,4.35,A,0,,
,,, ,,0,B,.07,N,SEP 14,106,4.30,A,4.50,A,, ,,,
,,, ,,0,Z,.07,A,SEP 14,107,5.30,A,5.50,A,, ,,,
,,, ,,0,B,.06,N,SEP 14,108,6.25,A,6.50,A,, ,,,
,,, ,,0,B,.06,N,SEP 14,109,7.25,A,7.55,A,, ,,,
,,.07,A,0,0,B,.06,N,SEP 14,110,8.25,A,8.50,A,7.80,A,0,,
,,.06,A,0,0,B,.06,N,SEP 14,115,13.25,A,13.50,A,16.75,A,0,,
,,.01,N,0,0,B,.06,N,SEP 14,120,18.25,A,18.55,A,, ,,,
,,, ,,0,B,.06,N,SEP 14,125,23.25,A,23.50,A,, ,,,
,,, ,,0,B,.06,N,SEP 14,130,28.25,A,28.50,A,, ,,,
,,.06,A,0,0,B,.06,N,SEP 14,135,33.25,A,33.50,A,, ,,,
,,, ,,0,B,.06,N,SEP 14,140,38.25,A,38.50,A,36.80,A,0,,

SEP4 14  (9)  100 (Weeklys)
,,LAST,LX,Net Chng,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,,
,,21.45,M,-.49,21.55,C,21.70,C,SEP4 14,80,0,Z,.02,H,.02,I,0,,
,,20.60,Z,0,20.55,A,20.75,X,SEP4 14,81,0,W,.02,H,.01,C,0,,
,,19.60,Z,0,19.55,A,19.70,A,SEP4 14,82,0,B,.02,H,.01,C,-.01,,
,,19.60,C,0,18.55,X,18.75,A,SEP4 14,83,.01,Q,.02,H,.02,A,0,,
,,14.05,A,0,17.55,A,17.75,A,SEP4 14,84,.01,Q,.02,Z,.05,I,0,,
,,16.70,Q,-.25,16.55,A,16.75,A,SEP4 14,85,.01,A,.02,Q,.02,Q,-.02,,
,,14.98,C,0,15.55,A,15.75,A,SEP4 14,86,.01,H,.02,Q,.01,I,-.05,,
,,13.90,X,-.68,14.60,C,14.75,A,SEP4 14,87,.02,H,.03,H,.03,I,-.01,,
,,14.60,H,0,13.60,A,13.75,A,SEP4 14,88,.02,H,.03,Q,.03,X,-.03,,
,,12.75,Z,+1.00,12.60,A,12.75,A,SEP4 14,89,.03,Q,.04,H,.03,X,-.02,,
,,11.60,Q,+1.10,11.60,A,11.75,A,SEP4 14,90,.03,H,.04,H,.04,A,0,,
,,10.15,X,-.85,10.60,A,10.75,A,SEP4 14,91,.04,Z,.05,H,.05,I,-.02,,
,,9.20,M,0,9.60,A,9.75,A,SEP4 14,92,.05,H,.06,H,.06,C,-.01,,
,,7.47,C,0,8.60,A,8.80,A,SEP4 14,93,.07,Q,.08,H,.08,X,-.02,,
,,6.95,C,-.20,7.65,A,7.80,A,SEP4 14,94,.09,Q,.10,H,.10,C,-.06,,
,,6.75,Q,+.35,6.70,A,6.85,A,SEP4 14,95,.13,Q,.14,H,.15,X,-.06,,
,,5.70,X,+.35,5.75,C,5.90,C,SEP4 14,96,.19,Q,.20,H,.22,C,-.09,,
,,4.85,N,+.45,4.85,C,4.95,A,SEP4 14,97,.28,Q,.29,H,.29,X,-.13,,
,,4.05,N,+.25,4.00,A,4.05,H,SEP4 14,98,.41,Q,.42,H,.42,C,-.21,,
,,3.09,C,+.21,3.20,A,3.30,A,SEP4 14,99,.61,Q,.62,H,.61,Z,-.34,,
,,2.53,X,+.33,2.51,Q,2.54,A,SEP4 14,100,.88,H,.90,Q,.88,Z,-.43,,
,,1.90,N,+.25,1.88,N,1.91,Q,SEP4 14,101,1.26,Q,1.28,C,1.25,C,-.52,,
,,1.39,A,+.19,1.36,N,1.38,N,SEP4 14,102,1.74,C,1.76,N,1.75,Q,-.39,,
,,.97,Z,+.11,.95,H,.97,A,SEP4 14,103,2.32,A,2.34,I,2.46,Q,-.40,,
,,.63,C,+.07,.63,H,.65,H,SEP4 14,104,2.97,C,3.05,C,3.04,C,-.51,,
,,.42,I,+.05,.41,N,.42,H,SEP4 14,105,3.70,A,3.85,C,3.83,C,-.51,,
,,.27,Z,+.01,.26,N,.27,H,SEP4 14,106,4.55,X,4.70,A,4.82,I,-1.18,,
,,.17,I,-.01,.16,N,.17,Z,SEP4 14,107,5.45,A,5.60,A,5.95,X,+.70,,
,,.10,A,-.02,.09,C,.11,M,SEP4 14,108,6.40,A,6.55,A,6.75,C,+.65,,
,,.08,C,0,.05,C,.06,H,SEP4 14,109,7.35,A,7.50,A,9.40,H,0,,
,,.04,C,-.04,.03,C,.04,Q,SEP4 14,110,8.35,A,8.50,A,8.05,Q,0,,
,,.03,Q,-.02,.02,H,.03,H,SEP4 14,111,9.30,A,9.45,A,10.45,M,0,,
,,.03,H,0,.01,H,.02,H,SEP4 14,112,10.30,A,10.45,A,, ,,,
,,.02,A,-.01,.01,H,.02,A,SEP4 14,113,11.30,A,11.45,A,12.20,X,+1.75,,
,,.02,M,0,0,W,.01,Q,SEP4 14,114,12.30,C,12.45,A,12.70,X,,,
