file,row,col,error-type,error
domestic-revenue-finance-and-expenditure.csv,6457,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6478,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6499,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6520,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6541,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6562,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6583,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6604,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6625,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6646,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6667,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6688,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6709,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6730,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6751,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6772,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6793,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6814,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6835,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6856,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6877,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6898,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6919,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6940,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6961,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,6982,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,7003,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,7024,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,7045,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,7066,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,7087,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,7108,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,7129,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,7150,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,7171,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,7192,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,7213,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,7234,3,Reference Misidentification,'estim' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8073,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8094,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8115,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8136,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8157,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8178,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8199,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8220,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8241,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8262,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8283,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8304,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8325,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8346,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8367,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8388,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8409,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8430,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8451,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8472,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8493,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8514,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8535,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8556,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8577,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8598,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8619,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8640,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8661,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8682,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8703,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8724,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8745,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8766,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8787,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8808,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8829,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8850,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8871,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,8892,3,Reference Misidentification,'est' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10321,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10342,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10363,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10384,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10405,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10426,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10447,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10468,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10489,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10510,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10531,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10552,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10573,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10594,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10615,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10636,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10657,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10678,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10699,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10720,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10741,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10762,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10783,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10804,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10825,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10846,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10867,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10888,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10909,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10930,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10951,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10972,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,10993,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,11014,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,11035,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,11056,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,11077,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,11098,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,11119,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,11140,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
domestic-revenue-finance-and-expenditure.csv,11161,3,Reference Misidentification,'revised-prog' is not in /reference/budget-type.csv
