Downloading data...
Data download complete.
Analyzing 86 options for 05/22/2015...Complete.
Analyzing 54 options for 10/16/2015...Complete.
Analyzing 36 options for 08/21/2015...Complete.
Analyzing 58 options for 07/17/2015...Complete.
Analyzing 93 options for 06/19/2015...Complete.
Analyzing 70 options for 06/26/2015...Complete.
Analyzing 66 options for 01/20/2017...Complete.
Analyzing 75 options for 06/05/2015...Complete.
Analyzing 66 options for 06/12/2015...Complete.
Analyzing 77 options for 05/29/2015...Complete.
Analyzing 187 options for 01/15/2016...Complete.

Date,Solutions,Down State,Down Min,Down Max,Down SD,Down Avg,Neutral State,Neutral Min,Neutral Max,Neutral SD,Neutral Avg,Up State,Up Min,Up Max,Up SD,Up Avg
05/22/2015,23514,97.77000000000001,0.00001092247198138575,0.6257547378555571,0.055237825742477466,0.02512735683730435,130.36,0.05713746793426459,0.9994265009663295,0.11459197660597617,0.9418103496880627,162.95000000000002,0.000009879282546092568,0.8457400648430634,0.08656731758126456,0.033062293474631334
10/16/2015,3068,97.77000000000001,0,0.7767154818449067,0.08406771882965715,0.22633757720108286,130.36,0.0018146032763230102,0.9723035819998077,0.14826250579237277,0.5613555221996319,162.95000000000002,0.0008232417614082374,0.7577275598903612,0.08670935407287106,0.21230690059928625
08/21/2015,1431,97.77000000000001,0.024459677832063646,0.4260089686098673,0.051188339028797415,0.15160267811182532,130.36,0.015942880365843085,0.9656355597754466,0.09987925830115058,0.7119651241494918,162.95000000000002,0.00027611568543672583,0.7079694657481383,0.06516475508593138,0.136432197738683
07/17/2015,3298,97.77000000000001,1.9520404828573834e-14,0.7449651861785463,0.0707724488297822,0.08242188329309255,130.36,0.007446421024407027,0.9901803680789705,0.1446255767516134,0.8147408721522656,162.95000000000002,0.0010741048304561843,0.8743068600616026,0.10072964854903521,0.10283724455464259
06/19/2015,27023,97.77000000000001,0.00003870327865186707,0.6272817575499539,0.04894028859237718,0.05827734870082295,130.36,0.0017543697222921035,0.9987112726727881,0.09391256022129982,0.87728812996406,162.95000000000002,0.000017659350772272517,0.8179971157838425,0.06388366067794085,0.06443452133512007
06/26/2015,14685,97.77000000000001,0.011449513388941507,0.8588365404258016,0.05998462051243574,0.07096283635431168,130.36,0.04862327463206813,0.9857179448365057,0.12020979105881284,0.8305307278656899,162.95000000000002,0.00039683545564453946,0.8624239180700334,0.08840082490839289,0.09850643577999872
01/20/2017,701,97.77000000000001,3.2895497025930446e-15,0.8959465159573639,0.18910510237820302,0.3921605197687184,130.36,0.0002467795160309497,0.6321217402982192,0.11260402324456158,0.13940193151288943,162.95000000000002,1.2208638071479369e-15,0.9975566238223454,0.19258145881162658,0.4684375487183919
06/05/2015,17162,97.77000000000001,0.000035367620712376425,0.6189366519974525,0.06303296065015117,0.04605016574322004,130.36,0.03518110977804569,0.9975222614204869,0.11849877532094505,0.8985015475248815,162.95000000000002,0.00011870639708321489,0.8948454028590368,0.08284321370184734,0.05544828673189478
06/12/2015,10893,97.77000000000001,0.007547007152904718,0.5623177888642632,0.04032724701923463,0.05241000668429395,130.36,0.022990802744531746,0.9901200533738873,0.08330550455563689,0.8879582354207095,162.95000000000002,0.0001730782394613391,0.9146108964917516,0.06122627304629793,0.05963175789499864
05/29/2015,15911,97.77000000000001,0.00004571258676285537,0.6327549880563705,0.0524688224620168,0.03204265376410513,130.36,0.07982325982126282,0.9991794919717555,0.0930633969652564,0.9333421192508419,162.95000000000002,0.00000677920850854941,0.7804317008432154,0.06333292481557433,0.03461522698505329
01/15/2016,111969,97.77000000000001,1.930822651522004e-15,0.8479976012443593,0.09054399865467441,0.28797949224400743,130.36,0.00005256779614450386,0.9917850090660503,0.15232232969248796,0.3935158732193417,162.95000000000002,0.0002461569767653993,0.6995933214249894,0.08509673726102565,0.3185046345366589
Done.
